experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-25T19:53:24.267Z,"features={'previous_heater_dc': 0.0, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.470000000000006, 'time_series_of_temp': [29.458333333333332, 29.458333333333332, 29.46875, 29.458333333333332, 29.458333333333332, 29.458333333333332, 29.447916666666668, 29.4375, 29.447916666666668, 29.447916666666668, 29.4375, 29.447916666666668, 29.447916666666668, 29.4375, 29.4375, 29.4375, 29.4375, 29.458333333333332, 29.447916666666668, 29.4375, 29.447916666666668]}",app,DEBUG,temperature_automation,2026-08-26 01:38:24.267,1377.529166666667
Pulse experiments,pioreactor01,2026-08-25T19:53:24.359Z,PID output = -1.078,app,DEBUG,temperature_automation,2026-08-26 01:38:24.359,1377.529166666667
Pulse experiments,pioreactor01,2026-08-25T19:53:24.361Z,UpdatedHeaterDC: delta_dc=-1.078,app,INFO,temperature_automation,2026-08-26 01:38:24.361,1377.529166666667
Pulse experiments,pioreactor01,2026-08-25T19:56:44.271Z,"features={'previous_heater_dc': 0.0, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.470000000000006, 'time_series_of_temp': [29.447916666666668, 29.447916666666668, 29.4375, 29.447916666666668, 29.4375, 29.4375, 29.4375, 29.4375, 29.447916666666668, 29.4375, 29.4375, 29.447916666666668, 29.4375, 29.4375, 29.447916666666668, 29.4375, 29.4375, 29.458333333333332, 29.4375, 29.4375, 29.4375]}",app,DEBUG,temperature_automation,2026-08-26 01:41:44.271,1377.584722222222
Pulse experiments,pioreactor01,2026-08-25T19:56:44.368Z,PID output = -1.0980000000000125,app,DEBUG,temperature_automation,2026-08-26 01:41:44.368,1377.584722222222
Pulse experiments,pioreactor01,2026-08-25T19:56:44.370Z,UpdatedHeaterDC: delta_dc=-1.0980000000000125,app,INFO,temperature_automation,2026-08-26 01:41:44.370,1377.584722222222
Pulse experiments,pioreactor01,2026-08-25T20:00:04.247Z,"features={'previous_heater_dc': 0.0, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.470000000000006, 'time_series_of_temp': [29.4375, 29.447916666666668, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375]}",app,DEBUG,temperature_automation,2026-08-26 01:45:04.247,1377.640277777778
Pulse experiments,pioreactor01,2026-08-25T20:00:04.348Z,PID output = -1.1440000000000035,app,DEBUG,temperature_automation,2026-08-26 01:45:04.348,1377.640277777778
Pulse experiments,pioreactor01,2026-08-25T20:00:04.351Z,UpdatedHeaterDC: delta_dc=-1.1440000000000035,app,INFO,temperature_automation,2026-08-26 01:45:04.351,1377.640277777778
Pulse experiments,pioreactor01,2026-08-25T20:03:15.725Z,LED Channel C set to 2.7% (Step 10/48),app,INFO,led_automation,2026-08-26 01:48:15.725,1377.693333333333
Pulse experiments,pioreactor01,2026-08-25T20:03:15.808Z,Updated LED C from 0% to 2.7%.,app,INFO,led_intensity,2026-08-26 01:48:15.808,1377.693333333333
Pulse experiments,pioreactor01,2026-08-25T20:03:15.820Z,Holding 2.7% for 30.0 min (next update in 1800s),app,INFO,led_automation,2026-08-26 01:48:15.820,1377.693333333333
Pulse experiments,pioreactor01,2026-08-25T20:03:17.684Z,Step 9/48: Setting target temperature -> 26.6°C,app,INFO,temperature_automation,2026-08-26 01:48:17.684,1377.693888888889
Pulse experiments,pioreactor01,2026-08-25T20:03:24.303Z,"features={'previous_heater_dc': 0.0, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.470000000000006, 'time_series_of_temp': [29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375, 29.4375]}",app,DEBUG,temperature_automation,2026-08-26 01:48:24.303,1377.695833333333
Pulse experiments,pioreactor01,2026-08-25T20:03:24.390Z,PID output = -1.1440000000000035,app,DEBUG,temperature_automation,2026-08-26 01:48:24.390,1377.695833333333
Pulse experiments,pioreactor01,2026-08-25T20:03:24.393Z,UpdatedHeaterDC: delta_dc=-1.1440000000000035,app,INFO,temperature_automation,2026-08-26 01:48:24.393,1377.695833333333
Pulse experiments,pioreactor01,2026-08-25T20:03:50.585Z,Cycle 9/48 | Glucose (Media)=0.170 mL | Salt (Alt-Media)=0.060 mL | Waste=0.200 mL,app,INFO,dosing_automation,2026-08-26 01:48:50.585,1377.703055555555
Pulse experiments,pioreactor01,2026-08-25T20:03:50.827Z,Removing 0.2 mL waste.,app,INFO,dosing_automation,2026-08-26 01:48:50.827,1377.703055555555
Pulse experiments,pioreactor01,2026-08-25T20:03:50.851Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,dosing_automation,2026-08-26 01:48:50.851,1377.703055555555
Pulse experiments,pioreactor01,2026-08-25T20:03:52.154Z,Cleaned up GPIO-12.,app,DEBUG,dosing_automation,2026-08-26 01:48:52.154,1377.703611111111
Pulse experiments,pioreactor01,2026-08-25T20:03:52.272Z,Adding 0.17 mL media.,app,INFO,dosing_automation,2026-08-26 01:48:52.272,1377.703611111111
Pulse experiments,pioreactor01,2026-08-25T20:03:52.281Z,"Initialized GPIO-13 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,dosing_automation,2026-08-26 01:48:52.281,1377.703611111111
Pulse experiments,pioreactor01,2026-08-25T20:03:53.410Z,Cleaned up GPIO-13.,app,DEBUG,dosing_automation,2026-08-26 01:48:53.410,1377.703888888889
Pulse experiments,pioreactor01,2026-08-25T20:03:53.613Z,Adding 0.06 mL alt-media.,app,INFO,dosing_automation,2026-08-26 01:48:53.613,1377.703888888889
Pulse experiments,pioreactor01,2026-08-25T20:03:53.638Z,"Initialized GPIO-16 using software-timing, initial frequency = 250.0 hz.",app,DEBUG,dosing_automation,2026-08-26 01:48:53.638,1377.703888888889
Pulse experiments,pioreactor01,2026-08-25T20:03:53.931Z,Cleaned up GPIO-16.,app,DEBUG,dosing_automation,2026-08-26 01:48:53.931,1377.703888888889
Pulse experiments,pioreactor01,2026-08-25T20:03:54.004Z,Next dosing cycle in 30.0 min (1800s),app,INFO,dosing_automation,2026-08-26 01:48:54.004,1377.704166666667
