timestamp,time_min,condition,solver_success,biomass_gdw_per_l,volume_ml,glucose_mmol_per_l,ammonium_mmol_per_l,sulfate_mmol_per_l,uracil_mmol_per_l,sodium_mmol_per_l,chloride_mmol_per_l,predicted_norm_od,observed_norm_od,observed_growth_rate_per_h
2026-07-08 11:55:00+00:00,0.0,glucose,True,0.08094338499784445,13.5,194.2760718488421,277.1772271190199,20.820320632937747,0.44610992148465384,21.74858634188778,21.156558533145272,0.5396225666522964,,
2026-07-08 12:00:00+00:00,5.0,glucose,True,0.0812086825921682,13.5,194.27269317223403,277.1755375367888,20.820283690787438,0.4460814634531272,21.748585288656344,21.156558190911365,0.5413912172811213,0.5396225666522964,0.0686068751206851
2026-07-08 12:05:00+00:00,10.0,glucose,True,0.08147482563484164,13.5,194.26930372848395,277.17384257021,20.820246630910162,0.44605291473176284,21.748584232068474,21.15655784758683,0.5431655042322776,0.5251445135004259,0.0824956842954444
2026-07-08 12:10:00+00:00,15.0,glucose,True,0.08174181060555069,13.5,194.26590356242457,277.17214224170306,20.82020945379612,0.44602427569817893,21.74858317213815,21.156557503176202,0.5449454040370046,0.529613045993339,0.0901323294760508
2026-07-08 12:15:00+00:00,20.0,glucose,True,0.08200963750429537,13.5,194.26249267405584,277.17043655126787,20.820172159445317,0.4459955463523755,21.748582108865374,21.156557157679494,0.5467309166953025,0.5323050568114561,0.076621050881807
2026-07-08 12:20:00+00:00,25.0,glucose,True,0.08227835241838692,13.5,194.2590704764364,277.1687252053915,20.820134741440178,0.44596672175064334,21.748581042067176,21.15655681103724,0.5485223494559128,0.5352249930109299,0.0711012343606491
2026-07-08 12:25:00+00:00,30.0,glucose,True,0.08254793360810797,13.5,194.2556372464307,277.1670083425261,20.82009720280792,0.44593780422496576,21.748579971829862,21.156556463277493,0.5503195573873865,0.5394673372194915,0.0808179020628983
2026-07-08 12:30:00+00:00,35.0,glucose,True,0.08281838003976094,13.5,194.2521929972033,277.16528596925497,20.820059543692484,0.4459087938862258,21.74857889815754,21.156556114401585,0.5521225335984064,0.5493121489523518,0.0887773342174444
2026-07-08 12:35:00+00:00,40.0,glucose,True,0.08308971505645213,13.5,194.24873743146995,277.1635579369144,20.820021760843392,0.4458796882304472,21.748577820957532,21.156555764379405,0.5539314337096809,0.5608651736513818,0.0921902066394727
2026-07-08 12:40:00+00:00,45.0,glucose,True,0.0833619402732843,13.5,194.24527052866154,277.1618242352185,20.81998385403574,0.4458504870843807,21.74857674022343,21.156555413208864,0.555746268488562,0.5741749944694736,0.0947862842138771
2026-07-08 12:45:00+00:00,50.0,glucose,True,0.08363505919676038,13.5,194.24179224412129,277.1600848418356,20.819945822781253,0.4458211900718895,21.748575655941316,21.156555060885438,0.557567061311736,0.5838557012032408,0.0986914770646666
2026-07-08 12:50:00+00:00,55.0,glucose,True,0.08390904093618237,13.5,194.23830297125528,277.15833995349715,20.819907671381404,0.44579180050656736,21.74857456823382,21.156554707448983,0.5593936062412158,0.5925297872727797,0.1086495205802881
2026-07-08 12:55:00+00:00,60.0,glucose,True,0.08418390634833044,13.5,194.2348024444436,277.156589437374,20.819869396931924,0.4457623161511422,21.748573477018144,21.15655435287259,0.561226042322203,0.6013039939489483,0.1171098740974827
2026-07-08 13:00:00+00:00,65.0,glucose,True,0.08445966977168098,13.5,194.2312904810797,277.1548332021498,20.81983099743621,0.44573273546754955,21.748572382237366,21.156553997137763,0.5630644651445399,0.6077405239679285,0.1192975495231071
2026-07-08 13:05:00+00:00,70.0,glucose,True,0.08473633596787335,13.5,194.22776702052204,277.15307121749925,20.819792472231214,0.4457030579450162,21.74857128387258,21.156553640238357,0.564908906452489,0.6021103814385933,0.1146861987767627
2026-07-08 13:10:00+00:00,75.0,glucose,True,0.08501390969854683,13.5,194.22423200212916,277.1513034530974,20.81975382065389,0.44567328307276904,21.748570181904878,21.156553282168232,0.5667593979903123,0.6057684854465357,0.1052808562305178
2026-07-08 13:15:00+00:00,80.0,glucose,True,0.08529239572534077,13.5,194.22068536525953,277.14952987861903,20.819715042041185,0.445643410340035,21.748569076315363,21.156552922921247,0.5686159715022718,0.6083956196562808,0.093315920997421
2026-07-08 13:20:00+00:00,85.0,glucose,True,0.08557179880989445,13.5,194.2171270492717,277.1477504637391,20.819676135730056,0.44561343923604096,21.748567967085126,21.156552562491253,0.5704786587326297,0.6106677950620176,0.0848175371499649
2026-07-08 13:25:00+00:00,90.0,glucose,True,0.08585212371384719,13.5,194.21355699352415,277.1459651781324,20.81963710105745,0.4455833692500137,21.748566854195268,21.156552200872117,0.572347491425648,0.6134141299732633,0.0750263976757543
2026-07-08 13:30:00+00:00,95.0,glucose,True,0.08613337519883832,13.5,194.20997513737538,277.14417399147385,20.819597937360317,0.4455531998711802,21.748565737626883,21.156551838057688,0.5742225013255888,0.6161470153001228,0.0659511531097368
2026-07-08 13:35:00+00:00,100.0,glucose,True,0.08641555802650715,13.5,194.2063814201839,277.14237687343837,20.81955864397561,0.44552293058876724,21.74856461736107,21.156551474041827,0.5761037201767143,0.6196732875033149,0.0674376247462592
2026-07-08 13:40:00+00:00,105.0,glucose,True,0.08669867695849298,13.5,194.2027757813082,277.1405737937008,20.819519220240284,0.44549256089200173,21.74856349337892,21.156551108818395,0.5779911797232866,0.6231899398606725,0.0682525009127758
