OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,temp_c,humidity,target_dose_ml
0.025531845951338228,-0.0006423269182118108,-0.005637217527050015,-0.00037764485677083126,-0.003181654188368077,-0.003810546874999987,-0.0038349745008680602,-0.004266859266493062,-0.004509141710069442,-0.004753906249999995,-0.0029900851779513793,-0.01975668981297883,-0.034931151266877236,-61.21666666666658,-0.13404166666666484,0.6869999999999976,0.05
0.010956158423728657,0.0010338380117468904,-0.003202618013520314,-0.00014597574869792268,-0.0017536417643229107,-0.0016736450195313224,-0.0012179565429687456,-0.0012976074218749578,-0.0013828735351562593,-0.0015687764485677325,-0.001010223388671877,0.014161063117357764,-0.01645651435197598,-10.987500000000068,0.09924999999999429,0.045718750000006025,0.1
0.0038194414981729263,0.002748684057465478,-0.00184976875393833,-0.0001921142578125007,-0.0020137776692708553,-0.002128987630208301,-0.002017049153645867,-0.002114729817708383,-0.00190606282552086,-0.0016230143229166716,-0.0009815022786458238,-0.042521937516301,-0.012714921129380996,32.93250000000012,0.004324999999997914,0.015699999999981173,0.2
-0.021654087436351055,-0.0007726790882454648,0.005065295138196507,0.0003726264105902849,0.0036701388888888964,0.004037034776475712,0.003723632812500044,0.003983893500434044,0.004140550401475762,0.004279975043402717,0.002677463107638889,0.08636605639856598,0.03073696218787836,58.945833333333326,-0.005666666666666487,-0.30179166666665935,0.25
-0.018105935902710424,-0.001653125363254182,0.0048001071157448005,0.0003193155924479177,0.003236287434895846,0.00351211886935765,0.003027214898003505,0.0033023885091145733,0.003369737413194407,0.0034160088433159985,0.002133755154079875,0.010353834168064818,0.029879566552839576,17.974999999999795,0.04025000000000034,-0.27241666666665765,0.2
-0.011812236959119427,-0.0015890304019309243,0.003504668856088522,0.00021137830946180158,0.002103366427951392,0.0022805311414930696,0.00202590603298608,0.002187466091579826,0.0021436360677083433,0.002153293185763905,0.0013598904079861196,-0.02706904380424463,0.021261121085191736,-12.683333333333394,0.03983333333333405,-0.2672500000000042,0.1
-0.007370912665295493,-0.0015896584379784806,0.002690381195450009,0.00016916232638888862,0.0016285671657985668,0.0017362399631076775,0.001648593478732585,0.0018276028103298425,0.0017349310980903088,0.0017071940104166905,0.0010958048502604512,-0.03619409851591561,0.01423940198586704,-24.910416666666606,0.005666666666666487,-0.1196249999999992,0.05
-0.007376587080096864,-0.0021409736211139285,0.003136776830860083,0.00025576443142361766,0.002410617404513926,0.002585191514756946,0.0026656019422742205,0.0029870944552951584,0.002915384928385445,0.0028042805989583197,0.001748779296874975,-0.011263168806249613,0.01717308303528553,-36.743749999999864,-0.04777083333333465,-0.16718750000001137,0.1
-0.007378455114189997,-0.002226530018972883,0.0031822642318437566,0.0002740749782986149,0.0025150892469618658,0.0027770860460069047,0.0029005601671007186,0.0031318834092882164,0.0030880126953125586,0.00300011528862848,0.0018812052408854474,-0.0017184764683758416,0.01733179229191828,-29.945833333333326,-0.03035416666666535,-0.3348958333333343,0.2
-0.00424872688662048,-0.0009600780604753778,0.001716800058572554,5.099826388889339e-05,0.00032092963324659163,0.00040685356987846255,0.0006997341579861316,0.0006706407335069775,0.0005777791341146088,0.0006023220486111036,0.00034366861979165386,-0.01033713739562506,0.009886268517117047,-30.46875,-0.0467499999999994,-0.21854166666665265,0.25
0.00038684224381940746,0.00048367363225382265,-0.0004499985899139025,-0.00016975233289930752,-0.002127407497829914,-0.002145785861545124,-0.0014174465603298825,-0.0015472073025173394,-0.0016288655598958313,-0.0015775824652777826,-0.0010543009440104334,-0.018422237379850756,-0.0020519989672328487,-21.59375,-0.015687500000002075,-0.16695833333334065,0.2
0.0042438465179412965,0.0015976015013177136,-0.0020437314680148977,-0.000255499945746529,-0.0027089504665798736,-0.0030015801323784452,-0.002671881781684038,-0.0027906087239583655,-0.002884521484374958,-0.0028767293294270635,-0.0017977566189236183,-0.022685343023360227,-0.011422904716871463,-2.1208333333332803,0.008000000000002672,-0.09814583333331939,0.1
0.0036163091683056314,0.0011550960765087104,-0.001589665103331972,-0.00017249891493055503,-0.0016087103949652404,-0.0018951619466145986,-0.0018428276909722152,-0.0018653293185763586,-0.0019251302083334032,-0.0019619072808159665,-0.001219407823350671,-0.006438822991178194,-0.009331697544982198,8.687500000000114,-0.01518750000000324,-0.13922916666666652,0.05
0.0014982479538159788,0.00043622582699820445,-0.0006805070206468977,-5.718994140625072e-05,-0.00040438503689232963,-0.0006410454644097396,-0.0006437377929687793,-0.0006325208875868071,-0.0007061835394964744,-0.0008853013780382168,-0.000457892523871517,0.0016683113767766693,-0.0038536798033124153,19.279166666666583,0.008916666666671347,-0.18881249999999739,0.1
0.0010278338362482708,0.000263647458695504,-0.0004820475876538277,-3.3996582031251e-05,-0.00023227945963544272,-0.0003425903320312673,-0.00044502088758680003,-0.00039699978298607386,-0.0004597710503472241,-0.0005540296766492481,-0.00028784857855901347,0.0031147431588680104,-0.002552992866264314,-1.0124999999999318,-0.00881249999999767,-0.1857916666666739,0.2
0.002871944997012821,0.0007405968319493805,-0.0011388350551906345,-0.0001284247504340294,-0.0010215996636285252,-0.0012993977864583228,-0.0013370090060763618,-0.0014269205729166567,-0.0014116617838541567,-0.0014201795789930416,-0.0008482326931424089,0.0006554405189442749,-0.006339761710991987,1.6854166666668107,-0.06789583333333482,0.1354166666666572,0.25
0.004861179040770103,0.0011260031939132054,-0.0018801052330343626,-0.0002170749240451436,-0.001828030056423624,-0.0021915825737847117,-0.0023737114800347903,-0.002555107964409775,-0.00247185601128469,-0.0023459540473090845,-0.0014830457899305816,-0.0017283469072476828,-0.010725491467000414,19.318750000000023,0.05033333333333445,-0.38193749999999227,0.2
0.006865353279199182,0.001326054000395871,-0.0025708574653345584,-0.0002724365234375026,-0.002321012369791653,-0.0027222819010416233,-0.0031540771484375174,-0.00343489583333334,-0.003284643554687494,-0.003160131835937552,-0.0019423258463541482,0.0015591764363159502,-0.014613350704173633,49.05250000000001,0.12740000000000506,0.03787499999999966,0.1
0.006762988855441632,0.0016960361540984126,-0.0020919301308437444,-0.0002249552408854147,-0.0019223429361979183,-0.002212056477864599,-0.0027785034179687584,-0.003033772786458333,-0.0028648478190103632,-0.0027420756022135673,-0.0016855163574218957,0.007117409592043943,-0.012235376970265888,-126.34687500000007,-0.3926562499999946,2.5708125000000024,0.05
