experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-03T22:26:13.045Z,UpdatedHeaterDC,delta_dc=-4.55,"{""current_dc"": 0.0, ""delta_dc"": -4.55, ""target_temperature"": 28.0, ""latest_temperature"": 30.75}",2026-09-04 04:11:13.045,1596.076111111111
Pulse experiments,pioreactor01,2026-09-03T22:29:29.186Z,UpdatedHeaterDC,delta_dc=-4.55,"{""current_dc"": 0.0, ""delta_dc"": -4.55, ""target_temperature"": 28.0, ""latest_temperature"": 30.75}",2026-09-04 04:14:29.186,1596.130555555555
Pulse experiments,pioreactor01,2026-09-03T22:32:50.374Z,UpdatedHeaterDC,delta_dc=-4.406000000000003,"{""current_dc"": 0.0, ""delta_dc"": -4.406000000000003, ""target_temperature"": 28.0, ""latest_temperature"": 30.73}",2026-09-04 04:17:50.374,1596.186388888889
Pulse experiments,pioreactor01,2026-09-03T22:36:07.283Z,UpdatedHeaterDC,delta_dc=-4.281999999999993,"{""current_dc"": 0.0, ""delta_dc"": -4.281999999999993, ""target_temperature"": 28.0, ""latest_temperature"": 30.7}",2026-09-04 04:21:07.283,1596.241111111111
Pulse experiments,pioreactor01,2026-09-03T22:39:30.492Z,UpdatedHeaterDC,delta_dc=-4.348000000000013,"{""current_dc"": 0.0, ""delta_dc"": -4.348000000000013, ""target_temperature"": 28.0, ""latest_temperature"": 30.69}",2026-09-04 04:24:30.492,1596.2975
Pulse experiments,pioreactor01,2026-09-03T22:42:50.246Z,UpdatedHeaterDC,delta_dc=-4.394000000000004,"{""current_dc"": 0.0, ""delta_dc"": -4.394000000000004, ""target_temperature"": 28.0, ""latest_temperature"": 30.69}",2026-09-04 04:27:50.246,1596.353055555556
Pulse experiments,pioreactor01,2026-09-03T22:46:17.338Z,UpdatedHeaterDC,delta_dc=-4.321999999999992,"{""current_dc"": 0.0, ""delta_dc"": -4.321999999999992, ""target_temperature"": 28.0, ""latest_temperature"": 30.68}",2026-09-04 04:31:17.338,1596.410555555555
Pulse experiments,pioreactor01,2026-09-03T22:49:24.656Z,UpdatedHeaterDC,delta_dc=-4.367999999999999,"{""current_dc"": 0.0, ""delta_dc"": -4.367999999999999, ""target_temperature"": 28.0, ""latest_temperature"": 30.68}",2026-09-04 04:34:24.656,1596.4625
Pulse experiments,pioreactor01,2026-09-03T22:52:52.647Z,UpdatedHeaterDC,delta_dc=-4.151999999999991,"{""current_dc"": 0.0, ""delta_dc"": -4.151999999999991, ""target_temperature"": 28.0, ""latest_temperature"": 30.65}",2026-09-04 04:37:52.647,1596.520277777778
Pulse experiments,pioreactor01,2026-09-03T22:59:22.450Z,UpdatedHeaterDC,delta_dc=-4.074000000000013,"{""current_dc"": 0.0, ""delta_dc"": -4.074000000000013, ""target_temperature"": 28.0, ""latest_temperature"": 30.62}",2026-09-04 04:44:22.450,1596.628611111111
Pulse experiments,pioreactor01,2026-09-03T23:02:43.520Z,UpdatedHeaterDC,delta_dc=-4.139999999999992,"{""current_dc"": 0.0, ""delta_dc"": -4.139999999999992, ""target_temperature"": 28.0, ""latest_temperature"": 30.61}",2026-09-04 04:47:43.520,1596.684444444444
Pulse experiments,pioreactor01,2026-09-03T23:09:28.859Z,UpdatedHeaterDC,delta_dc=-3.8980000000000046,"{""current_dc"": 0.0, ""delta_dc"": -3.8980000000000046, ""target_temperature"": 28.0, ""latest_temperature"": 30.57}",2026-09-04 04:54:28.859,1596.796944444445
Pulse experiments,pioreactor01,2026-09-03T23:12:42.764Z,UpdatedHeaterDC,delta_dc=-4.153999999999987,"{""current_dc"": 0.0, ""delta_dc"": -4.153999999999987, ""target_temperature"": 31.0, ""latest_temperature"": 30.58}",2026-09-04 04:57:42.764,1596.850833333333
Pulse experiments,pioreactor01,2026-09-03T23:16:12.063Z,UpdatedHeaterDC,delta_dc=-3.9639999999999986,"{""current_dc"": 0.0, ""delta_dc"": -3.9639999999999986, ""target_temperature"": 31.0, ""latest_temperature"": 30.56}",2026-09-04 05:01:12.063,1596.909166666667
Pulse experiments,pioreactor01,2026-09-03T23:19:37.421Z,UpdatedHeaterDC,delta_dc=-4.0559999999999965,"{""current_dc"": 0.0, ""delta_dc"": -4.0559999999999965, ""target_temperature"": 28.0, ""latest_temperature"": 30.56}",2026-09-04 05:04:37.421,1596.966111111111
Pulse experiments,pioreactor01,2026-09-03T23:22:48.118Z,UpdatedHeaterDC,delta_dc=-4.0559999999999965,"{""current_dc"": 0.0, ""delta_dc"": -4.0559999999999965, ""target_temperature"": 28.0, ""latest_temperature"": 30.56}",2026-09-04 05:07:48.118,1597.019166666667
Pulse experiments,pioreactor01,2026-09-03T23:26:10.716Z,UpdatedHeaterDC,delta_dc=-4.0559999999999965,"{""current_dc"": 0.0, ""delta_dc"": -4.0559999999999965, ""target_temperature"": 28.0, ""latest_temperature"": 30.56}",2026-09-04 05:11:10.716,1597.075277777778
Pulse experiments,pioreactor01,2026-09-03T23:29:28.903Z,UpdatedHeaterDC,delta_dc=-4.0559999999999965,"{""current_dc"": 0.0, ""delta_dc"": -4.0559999999999965, ""target_temperature"": 28.0, ""latest_temperature"": 30.56}",2026-09-04 05:14:28.903,1597.130277777778
Pulse experiments,pioreactor01,2026-09-03T23:32:48.123Z,UpdatedHeaterDC,delta_dc=-3.984000000000011,"{""current_dc"": 0.0, ""delta_dc"": -3.984000000000011, ""target_temperature"": 28.0, ""latest_temperature"": 30.55}",2026-09-04 05:17:48.123,1597.185833333333
Pulse experiments,pioreactor01,2026-09-03T23:36:06.094Z,UpdatedHeaterDC,delta_dc=-3.742000000000008,"{""current_dc"": 0.0, ""delta_dc"": -3.742000000000008, ""target_temperature"": 28.0, ""latest_temperature"": 30.51}",2026-09-04 05:21:06.094,1597.240833333333
Pulse experiments,pioreactor01,2026-09-03T23:39:33.622Z,UpdatedHeaterDC,delta_dc=-3.853999999999993,"{""current_dc"": 0.0, ""delta_dc"": -3.853999999999993, ""target_temperature"": 28.0, ""latest_temperature"": 30.5}",2026-09-04 05:24:33.622,1597.298333333333
Pulse experiments,pioreactor01,2026-09-03T23:42:46.714Z,UpdatedHeaterDC,delta_dc=-3.9000000000000004,"{""current_dc"": 0.0, ""delta_dc"": -3.9000000000000004, ""target_temperature"": 28.0, ""latest_temperature"": 30.5}",2026-09-04 05:27:46.714,1597.351944444444
Pulse experiments,pioreactor01,2026-09-03T23:46:05.933Z,UpdatedHeaterDC,delta_dc=-3.9000000000000004,"{""current_dc"": 0.0, ""delta_dc"": -3.9000000000000004, ""target_temperature"": 28.0, ""latest_temperature"": 30.5}",2026-09-04 05:31:05.933,1597.407222222222
Pulse experiments,pioreactor01,2026-09-03T23:49:28.378Z,UpdatedHeaterDC,delta_dc=-3.8279999999999887,"{""current_dc"": 0.0, ""delta_dc"": -3.8279999999999887, ""target_temperature"": 28.0, ""latest_temperature"": 30.49}",2026-09-04 05:34:28.378,1597.463611111111
Pulse experiments,pioreactor01,2026-09-03T23:52:48.918Z,UpdatedHeaterDC,delta_dc=-3.6580000000000137,"{""current_dc"": 0.0, ""delta_dc"": -3.6580000000000137, ""target_temperature"": 28.0, ""latest_temperature"": 30.46}",2026-09-04 05:37:48.918,1597.519166666667
Pulse experiments,pioreactor01,2026-09-03T23:56:14.139Z,UpdatedHeaterDC,delta_dc=-3.6520000000000055,"{""current_dc"": 0.0, ""delta_dc"": -3.6520000000000055, ""target_temperature"": 28.0, ""latest_temperature"": 30.44}",2026-09-04 05:41:14.139,1597.576388888889
Pulse experiments,pioreactor01,2026-09-03T23:59:27.376Z,UpdatedHeaterDC,delta_dc=-3.7440000000000033,"{""current_dc"": 0.0, ""delta_dc"": -3.7440000000000033, ""target_temperature"": 28.0, ""latest_temperature"": 30.44}",2026-09-04 05:44:27.376,1597.63
Pulse experiments,pioreactor01,2026-09-04T00:02:43.747Z,UpdatedHeaterDC,delta_dc=-3.7440000000000033,"{""current_dc"": 0.0, ""delta_dc"": -3.7440000000000033, ""target_temperature"": 28.0, ""latest_temperature"": 30.44}",2026-09-04 05:47:43.747,1597.684444444444
Pulse experiments,pioreactor01,2026-09-04T00:06:20.733Z,UpdatedHeaterDC,delta_dc=-3.6000000000000068,"{""current_dc"": 0.0, ""delta_dc"": -3.6000000000000068, ""target_temperature"": 28.0, ""latest_temperature"": 30.42}",2026-09-04 05:51:20.733,1597.744722222222
Pulse experiments,pioreactor01,2026-09-04T00:09:27.901Z,UpdatedHeaterDC,delta_dc=-3.4759999999999964,"{""current_dc"": 0.0, ""delta_dc"": -3.4759999999999964, ""target_temperature"": 28.0, ""latest_temperature"": 30.39}",2026-09-04 05:54:27.901,1597.796666666667
Pulse experiments,pioreactor01,2026-09-04T00:12:41.607Z,UpdatedHeaterDC,delta_dc=-3.6140000000000017,"{""current_dc"": 0.0, ""delta_dc"": -3.6140000000000017, ""target_temperature"": 34.0, ""latest_temperature"": 30.39}",2026-09-04 05:57:41.607,1597.850555555556
Pulse experiments,pioreactor01,2026-09-04T00:16:07.054Z,UpdatedHeaterDC,delta_dc=-3.54199999999999,"{""current_dc"": 0.0, ""delta_dc"": -3.54199999999999, ""target_temperature"": 34.0, ""latest_temperature"": 30.38}",2026-09-04 06:01:07.054,1597.907777777778
Pulse experiments,pioreactor01,2026-09-04T00:19:39.770Z,UpdatedHeaterDC,delta_dc=-3.5879999999999974,"{""current_dc"": 0.0, ""delta_dc"": -3.5879999999999974, ""target_temperature"": 28.0, ""latest_temperature"": 30.38}",2026-09-04 06:04:39.770,1597.966666666667
Pulse experiments,pioreactor01,2026-09-04T00:22:46.941Z,UpdatedHeaterDC,delta_dc=-3.5879999999999974,"{""current_dc"": 0.0, ""delta_dc"": -3.5879999999999974, ""target_temperature"": 28.0, ""latest_temperature"": 30.38}",2026-09-04 06:07:46.941,1598.018611111111
Pulse experiments,pioreactor01,2026-09-04T00:26:03.421Z,UpdatedHeaterDC,delta_dc=-3.444000000000001,"{""current_dc"": 0.0, ""delta_dc"": -3.444000000000001, ""target_temperature"": 28.0, ""latest_temperature"": 30.36}",2026-09-04 06:11:03.421,1598.073333333333
Pulse experiments,pioreactor01,2026-09-04T00:29:24.997Z,UpdatedHeaterDC,delta_dc=-3.2480000000000047,"{""current_dc"": 0.0, ""delta_dc"": -3.2480000000000047, ""target_temperature"": 28.0, ""latest_temperature"": 30.32}",2026-09-04 06:14:24.997,1598.129166666667
Pulse experiments,pioreactor01,2026-09-04T00:32:43.650Z,UpdatedHeaterDC,delta_dc=-3.432000000000001,"{""current_dc"": 0.0, ""delta_dc"": -3.432000000000001, ""target_temperature"": 28.0, ""latest_temperature"": 30.32}",2026-09-04 06:17:43.650,1598.184444444444
