1,706,466,340,687,449,327,681,709,717,719,475,345,274,681,445,325,260,675,711,715,718,479,348,689,712,718,720,721,483,699,460,697,464,697,460,334,682,445,691,460
0,301,679,708,465,695,714,469,342,272,231,674,706,715,472,697,714,718,478,347,276,233,672,707,464,337,269,228,204,665,441,688,453,690,450,691,711,467,696,463,694
1,703,468,331,686,452,330,683,709,716,718,477,348,275,679,449,327,261,674,706,715,717,483,350,687,711,718,719,721,485,701,465,695,467,695,463,339,684,451,689,451
1,686,456,332,681,451,328,681,708,715,718,479,348,277,678,449,327,262,672,705,714,717,482,350,686,710,717,718,720,486,700,466,694,455,694,462,336,683,451,689,451
0,295,674,705,468,692,712,472,342,273,231,669,704,714,474,694,713,716,479,349,276,233,669,704,466,338,270,229,205,667,432,684,455,690,455,690,710,470,694,467,694
0,394,689,710,474,694,712,474,345,273,231,668,704,713,476,693,712,716,483,350,277,234,673,706,469,341,271,229,204,665,434,684,443,689,455,689,709,471,693,454,692
1,700,459,335,681,443,324,678,706,714,716,483,350,276,675,437,321,259,669,704,712,716,474,344,684,709,714,717,719,477,697,467,696,460,692,451,331,681,454,690,457
0,298,677,706,472,694,711,477,346,274,232,666,704,712,478,695,712,716,473,345,273,231,670,705,471,342,271,231,204,664,436,683,445,689,458,691,709,474,694,460,691
0,397,687,708,477,696,712,479,347,275,230,670,704,712,478,696,712,717,475,346,274,233,670,704,473,342,272,231,203,663,437,686,450,687,458,691,709,475,695,460,691
1,701,465,338,681,448,327,681,706,713,716,475,345,274,677,444,324,261,672,704,712,715,477,346,685,708,715,717,718,482,695,458,693,462,693,458,334,683,447,690,459
0,299,675,705,464,691,710,467,341,272,229,669,703,712,470,693,711,713,478,346,276,230,667,703,462,336,269,228,202,661,424,683,450,686,448,688,708,466,693,461,693
1,701,467,339,681,451,328,679,707,712,715,477,346,275,676,446,325,260,670,703,711,715,479,348,683,708,714,716,718,484,697,463,691,452,686,459,333,681,448,687,449
1,683,455,330,678,450,326,678,705,712,714,477,346,275,675,448,326,261,669,702,711,714,481,348,683,707,714,716,717,484,697,465,691,454,690,461,334,680,450,686,449
1,683,442,323,676,450,326,677,704,712,716,478,349,275,673,444,326,262,668,702,711,714,477,346,681,707,713,716,716,475,696,466,690,455,689,461,345,680,451,689,453
1,682,444,324,676,437,320,675,705,711,714,480,348,275,673,435,319,257,666,701,710,714,471,343,681,706,713,716,716,475,695,465,693,458,690,447,328,678,452,688,454
1,682,445,324,675,437,320,673,704,712,714,480,348,276,672,437,320,258,669,702,711,713,473,344,680,707,713,715,716,477,694,467,693,460,689,451,328,677,439,687,455
1,685,449,327,675,439,321,674,703,711,714,470,342,272,671,437,320,257,670,703,708,710,474,345,680,706,712,715,716,478,694,455,691,460,689,452,329,676,440,686,455
1,684,450,327,679,444,332,674,703,711,715,472,343,272,675,438,322,260,669,701,710,713,475,345,683,706,712,715,716,480,694,457,690,477,692,455,331,676,441,686,457
0,297,672,703,462,689,708,466,338,269,229,666,701,710,468,692,709,713,474,345,273,231,663,701,460,335,267,227,202,660,436,683,449,684,446,686,707,464,691,459,687
0,386,682,706,466,690,711,468,340,270,230,667,702,711,469,691,709,713,476,346,274,231,665,701,462,335,270,227,201,659,424,681,450,689,449,687,707,465,691,461,690
1,697,467,339,680,450,328,677,705,711,714,476,346,274,674,446,325,260,667,701,710,713,479,347,682,707,712,715,716,484,693,464,690,452,689,459,333,679,448,685,448
0,293,670,703,465,688,707,469,341,270,228,648,701,710,471,689,709,713,479,348,275,232,664,701,464,337,268,226,202,662,429,680,453,686,450,685,706,468,689,450,689
1,698,456,332,677,452,328,676,704,711,713,479,347,274,672,449,326,261,666,701,709,713,470,342,680,706,712,715,716,475,694,462,692,457,689,462,335,678,452,687,453
0,295,674,703,469,691,708,472,343,271,232,663,700,708,475,693,708,713,470,343,272,229,667,701,468,340,270,228,203,661,432,678,441,684,454,688,706,471,689,453,688
1,700,461,336,677,441,322,674,702,710,713,469,342,271,671,436,319,257,669,701,709,713,472,344,679,704,712,714,715,477,693,454,690,458,687,448,328,676,438,685,454
0,295,673,702,459,689,709,475,344,274,230,667,700,709,465,691,709,713,471,345,272,231,666,702,457,333,268,226,201,659,433,682,446,684,444,687,706,474,691,458,688
1,698,462,336,679,447,325,678,704,711,712,472,343,272,673,442,323,259,668,701,709,712,475,345,681,706,712,714,715,478,692,456,689,461,690,456,332,679,444,685,457
0,298,672,702,461,688,708,466,338,268,229,664,700,709,469,690,708,713,475,344,274,232,665,699,461,334,267,227,203,656,423,680,448,681,446,685,706,464,692,459,689
1,698,465,338,678,449,328,676,703,710,713,475,345,273,672,445,324,259,667,700,709,712,477,346,681,706,712,714,715,482,694,461,689,451,688,458,332,678,447,684,446
1,680,453,328,675,448,325,675,702,709,712,476,345,273,672,445,324,260,664,699,709,713,479,347,680,705,712,713,714,471,693,462,695,451,688,447,333,677,448,687,450
0,294,674,702,466,688,710,470,341,271,227,663,699,708,472,689,707,712,479,346,273,231,667,701,465,337,268,227,202,661,431,679,439,684,451,683,706,468,688,450,686
0,390,683,705,471,692,708,473,344,271,230,663,700,708,474,692,708,713,481,348,276,232,667,701,467,338,269,228,203,660,430,679,441,684,453,687,706,469,688,450,687
1,696,454,332,656,440,322,673,702,710,712,481,348,274,670,426,319,258,668,700,709,711,471,343,678,704,712,713,714,475,693,465,690,459,687,449,327,675,438,684,452
0,295,671,702,457,688,707,474,344,272,230,666,700,708,464,691,708,712,471,342,271,230,665,700,457,332,266,226,201,658,433,681,446,683,456,686,706,472,691,458,685
0,385,681,705,462,690,707,464,337,268,226,666,699,709,466,690,710,712,473,343,272,231,666,700,459,333,268,227,201,658,434,681,448,683,442,685,706,460,690,458,685
1,696,463,335,679,446,325,676,703,710,712,471,343,272,672,442,323,259,667,700,708,711,475,344,681,705,712,713,714,480,694,459,689,461,690,456,332,678,445,684,443
1,680,450,328,676,443,324,675,702,709,710,473,344,272,671,443,323,259,665,700,708,712,476,346,680,704,711,713,714,482,694,460,689,450,687,456,332,678,446,683,446
