experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-26T18:45:52.360Z,UpdatedHeaterDC,delta_dc=-2.1680000000000095,"{""current_dc"": 0.0, ""delta_dc"": -2.1680000000000095, ""target_temperature"": 28.6, ""latest_temperature"": 29.94}",2026-08-27 00:30:52.360,1400.403611111111
Pulse experiments,pioreactor01,2026-08-26T18:49:11.959Z,UpdatedHeaterDC,delta_dc=-2.011999999999987,"{""current_dc"": 0.0, ""delta_dc"": -2.011999999999987, ""target_temperature"": 28.6, ""latest_temperature"": 29.88}",2026-08-27 00:34:11.959,1400.458888888889
Pulse experiments,pioreactor01,2026-08-26T18:52:31.938Z,UpdatedHeaterDC,delta_dc=-1.7839999999999954,"{""current_dc"": 0.0, ""delta_dc"": -1.7839999999999954, ""target_temperature"": 28.6, ""latest_temperature"": 29.81}",2026-08-27 00:37:31.938,1400.514444444445
Pulse experiments,pioreactor01,2026-08-26T18:55:51.928Z,UpdatedHeaterDC,delta_dc=-1.6740000000000061,"{""current_dc"": 0.0, ""delta_dc"": -1.6740000000000061, ""target_temperature"": 28.6, ""latest_temperature"": 29.75}",2026-08-27 00:40:51.928,1400.57
Pulse experiments,pioreactor01,2026-08-26T18:59:11.977Z,UpdatedHeaterDC,delta_dc=-1.589999999999995,"{""current_dc"": 0.0, ""delta_dc"": -1.589999999999995, ""target_temperature"": 28.6, ""latest_temperature"": 29.7}",2026-08-27 00:44:11.977,1400.625555555556
Pulse experiments,pioreactor01,2026-08-26T19:02:31.918Z,UpdatedHeaterDC,delta_dc=-1.2440000000000104,"{""current_dc"": 0.0, ""delta_dc"": -1.2440000000000104, ""target_temperature"": 28.6, ""latest_temperature"": 29.62}",2026-08-27 00:47:31.918,1400.681111111111
Pulse experiments,pioreactor01,2026-08-26T19:05:52.524Z,UpdatedHeaterDC,delta_dc=-1.6120000000000025,"{""current_dc"": 0.0, ""delta_dc"": -1.6120000000000025, ""target_temperature"": 28.6, ""latest_temperature"": 29.62}",2026-08-27 00:50:52.524,1400.736944444444
Pulse experiments,pioreactor01,2026-08-26T19:09:12.464Z,UpdatedHeaterDC,delta_dc=-1.2519999999999976,"{""current_dc"": 0.0, ""delta_dc"": -1.2519999999999976, ""target_temperature"": 32.5, ""latest_temperature"": 29.57}",2026-08-27 00:54:12.464,1400.7925
Pulse experiments,pioreactor01,2026-08-26T19:12:31.967Z,UpdatedHeaterDC,delta_dc=-1.4099999999999895,"{""current_dc"": 0.0, ""delta_dc"": -1.4099999999999895, ""target_temperature"": 32.5, ""latest_temperature"": 29.56}",2026-08-27 00:57:31.967,1400.847777777778
Pulse experiments,pioreactor01,2026-08-26T19:15:51.937Z,UpdatedHeaterDC,delta_dc=-1.0960000000000172,"{""current_dc"": 0.0, ""delta_dc"": -1.0960000000000172, ""target_temperature"": 32.5, ""latest_temperature"": 29.51}",2026-08-27 01:00:51.937,1400.903333333333
