measured_temp_c,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity,u_uv_intensity_pct,u_target_temp_c,u_glucose_ml,u_salt_ml
33.01,0.16234906998348056,0.2780287376232278,0.23739654464241944,0.047194607204861114,0.4023709852430556,0.4491124131944444,0.5018674045138889,0.5639220377604167,0.5587096354166666,0.5485330403645834,0.3228347981770833,0.09165021961231871,0.930718091959348,821.0333333333333,29.7225,70.50283333333333,19.6,30.4,0.05,0.0
31.236666666666665,0.15641530596046668,0.2744328706236028,0.24224237049141387,0.04784754774305556,0.40809342447916663,0.4552698025173611,0.509841796875,0.5733908420138889,0.5674337565104166,0.55688134765625,0.3279530164930556,0.07966952735986167,0.955364444028879,880.2666666666667,28.916,72.97716666666666,45.0,32.4,0.25,0.12
30.38444444444444,0.15014556506825555,0.2700155400211778,0.24743277844951386,0.04869981553819445,0.41544965277777773,0.4636124131944444,0.5201784396701389,0.5849643012152778,0.57873974609375,0.5677184787326388,0.33475645616319444,0.07783942201904871,0.9831667548142206,990.2183121449132,28.64016666666667,75.9665,5.7,26.5,0.15,0.04
29.936666666666667,0.14432652687544723,0.26528293326400276,0.25232427158935555,0.04941769748263889,0.4213112521701389,0.47056114366319446,0.5287578125,0.5947657877604167,0.5882466905381944,0.5768229166666666,0.3403783637152778,0.06939617533455425,1.0099474758641114,998.6502247591353,28.479499999999998,76.83449999999999,6.6,27.6,0.16,0.05
29.74777777777778,0.13894300033213333,0.2606281595650972,0.2572224790625472,0.05020355902777778,0.42779003906249996,0.4784462348090278,0.5378169487847222,0.6051089952256945,0.5984816623263889,0.5869476996527777,0.3466599934895834,0.0682662925246353,1.036456650127441,999.1883417032394,28.339166666666664,77.28183333333332,3.0,26.4,0.17,0.06
29.63111111111111,0.1336710185842472,0.2555449491163083,0.2623571658082528,0.051078233506944445,0.43479541015625,0.48695610894097224,0.5480735134548611,0.6167709418402778,0.6100964626736111,0.5980200737847222,0.3535995008680555,0.06706835836649706,1.0648862100571883,999.7264581291472,28.255666666666666,77.52333333333333,7.0,27.1,0.15,0.05
29.59111111111111,0.1281837313603,0.2500537036276639,0.26757273684059996,0.051903428819444444,0.4412970920138889,0.4948081597222222,0.5577986111111112,0.6279697808159722,0.6209119466145834,0.6082978515625,0.3599274631076389,0.07139563494915697,1.094343921427221,984.4583362498903,28.18,77.537,4.8,27.4,0.17,0.06
29.50222222222222,0.12334325918337499,0.244910265621525,0.2730523934450944,0.05275325520833333,0.4484020724826389,0.5032234157986111,0.5675270182291666,0.6390506727430556,0.6319397786458333,0.6188416341145834,0.36643831380208336,0.06472255212795482,1.1244077725523645,968.7833333333333,28.12,77.46266666666666,4.2,26.2,0.16,0.05
29.450000000000003,0.11908912358837777,0.23998936203421112,0.27790384793911665,0.05365749782986111,0.4557332899305555,0.5119336480034722,0.5775689019097222,0.6506715494791666,0.6434969618055556,0.6299345160590277,0.3733937174479166,0.05952467071345272,1.1507888069948538,985.4315776748873,27.999666666666666,77.73583333333333,7.5,27.7,0.16,0.05
29.422222222222224,0.11480718543720833,0.23491056815464167,0.2827144493829111,0.05462760416666666,0.4636384006076389,0.5213191731770833,0.5885257161458333,0.6630718858506944,0.6560466579861112,0.6422345377604166,0.38097802734374997,0.05774118419705263,1.1782927457016579,993.9342091912167,28.014333333333333,77.37566666666666,2.7,26.6,0.17,0.06
29.486666666666665,0.11079608005911111,0.22997777031673058,0.2871874439520139,0.05548665364583333,0.4704781358506944,0.5295612521701388,0.5982482638888889,0.6740192599826389,0.6668042534722223,0.6528181966145833,0.38751915147569443,0.05468935537758753,1.2044073110711215,924.1259199537079,27.861,76.49333333333334,6.6,26.8,0.15,0.04
29.599999999999998,0.10738415719198055,0.2256817838796528,0.29113924645861944,0.05631895616319444,0.47694623480902776,0.5373655598958333,0.60765576171875,0.68477734375,0.6774938151041667,0.6628564453125,0.39386181640625,0.04799631244423988,1.2273522541905955,791.2333333333333,27.854166666666668,75.06283333333334,6.1,27.8,0.17,0.06
