feature_set,target,delay_steps,memory_min,n,r2_loo,nmse_loo,mae_loo,persistence_r2,persistence_mae
full_sensor_panel,uv_intensity_pct,0,0.0,32,-4.518670271732332,5.5186702717322405,7.238806569704245,-0.6334253403435564,6.409375
full_sensor_panel,uv_intensity_pct,1,30.0,31,-0.3833526349913221,1.383352634991298,5.446632106122255,-0.4122684256708229,5.7967741935483845
full_sensor_panel,uv_intensity_pct,2,60.0,30,-0.0702153141000601,1.07021531409994,2.5523023816844264,-2.5520193885234703,4.680000000000001
full_sensor_panel,uv_intensity_pct,3,90.0,29,-0.07278759317666994,1.0727875931765536,2.64177098826694,-2.5490289897314593,4.810344827586207
full_sensor_panel,uv_intensity_pct,4,120.0,28,-0.35422864071448257,1.35422864071434,3.000206919703998,-2.5129726070550067,4.853571428571429
full_sensor_panel,uv_intensity_pct,5,150.0,27,-1.0854770085537333,2.085477008553516,3.493086926511392,-2.5470205692677648,4.885185185185184
full_sensor_panel,uv_intensity_pct,6,180.0,26,-0.43814853431819434,1.4381485343180493,3.2492040911242484,-2.552122134122399,4.988461538461538
full_sensor_panel,target_temperature_c,0,0.0,32,-0.15722748325934188,1.157227483258778,1.139988196906812,-0.9726277719615501,1.6
full_sensor_panel,target_temperature_c,1,30.0,31,-0.39482322819741933,1.3948232281966508,1.1980475730138287,-1.2313487604063944,1.5870967741935489
full_sensor_panel,target_temperature_c,2,60.0,30,-0.09219563727481872,1.0921956372736972,0.8554619352789016,-2.1056318744009865,1.4433333333333338
full_sensor_panel,target_temperature_c,3,90.0,29,-0.46367957852303565,1.4636795785215633,0.9828574528540642,-2.1055817403162904,1.4551724137931035
full_sensor_panel,target_temperature_c,4,120.0,28,-1.3244846409819715,2.324484640979695,1.2263911194734038,-2.0796049099059735,1.4642857142857142
full_sensor_panel,target_temperature_c,5,150.0,27,-0.45887894474897295,1.4588789447475694,1.0705498170052332,-2.120783847980998,1.4925925925925925
full_sensor_panel,target_temperature_c,6,180.0,26,-0.4455479978656265,1.4455479978642871,1.0705470758972802,-2.1178050652340756,1.5384615384615385
full_sensor_panel,glucose_ml,0,0.0,32,-0.35196761797600895,1.351967616394182,0.019492862570141434,-1.731261425959782,0.0309375
full_sensor_panel,glucose_ml,1,30.0,31,-0.27057195261256384,1.270571950011329,0.017198584942815714,-1.291648913506604,0.025483870967741944
full_sensor_panel,glucose_ml,2,60.0,30,-0.070231146307274,1.0702311418397044,0.012598205078412179,-2.4369202226345084,0.023000000000000007
full_sensor_panel,glucose_ml,3,90.0,29,-0.3451560157778053,1.3451560102808364,0.014484357450489963,-2.4664723032069973,0.02344827586206897
full_sensor_panel,glucose_ml,4,120.0,28,-0.8524765168387529,1.8524765095295352,0.016015118430470765,-2.4524408656265724,0.023928571428571434
full_sensor_panel,glucose_ml,5,150.0,27,-0.33446116137741666,1.3344611562192927,0.014268907070371284,-2.4501590668080593,0.024074074074074078
