feature_set,target,delay_steps,memory_min,n,r2_loo,nmse_loo,mae_loo,persistence_r2,persistence_mae
full_sensor_panel,glucose_ml,6,180.0,26,-0.48895260125537066,1.4889525956416956,0.01490675393104568,-2.436698271054099,0.024230769230769236
full_sensor_panel,salt_ml,0,0.0,32,-0.333895381588295,1.3338953784924,0.01575445557594303,-2.0825022665457844,0.0265625
full_sensor_panel,salt_ml,1,30.0,31,-0.30441799426264704,1.304417990633389,0.01574056669947545,-1.5220034742327742,0.0235483870967742
full_sensor_panel,salt_ml,2,60.0,30,-0.07022174666985936,1.070221741653195,0.011725021393154213,-2.3906250000000004,0.02166666666666667
full_sensor_panel,salt_ml,3,90.0,29,-0.46873792919345125,1.4687379224288915,0.014516035738592224,-2.4304490690032865,0.022068965517241385
full_sensor_panel,salt_ml,4,120.0,28,-0.9926151136351751,1.9926151047740848,0.01616602981323533,-2.4146341463414633,0.022500000000000003
full_sensor_panel,salt_ml,5,150.0,27,-0.497932066195627,1.4979320596723746,0.0136964812250252,-2.451612903225806,0.022962962962962966
full_sensor_panel,salt_ml,6,180.0,26,-0.5813193316400429,1.5813193250087039,0.01547607920833996,-2.435483870967742,0.023461538461538464
bio_optical_only,uv_intensity_pct,0,0.0,32,-0.193095618690023,1.193095618690003,5.091061728754241,-0.6334253403435564,6.409375
bio_optical_only,uv_intensity_pct,1,30.0,31,-0.06781192383259071,1.0678119238325718,3.875213584414261,-0.4122684256708229,5.7967741935483845
bio_optical_only,uv_intensity_pct,2,60.0,30,-0.07019630162450641,1.0701963016243863,2.55226934038047,-2.5520193885234703,4.680000000000001
bio_optical_only,uv_intensity_pct,3,90.0,29,-0.07275979973039082,1.0727597997302745,2.6417253608534703,-2.5490289897314593,4.810344827586207
bio_optical_only,uv_intensity_pct,4,120.0,28,-0.08502103681391415,1.0850210368138,2.716452982290149,-2.5129726070550067,4.853571428571429
bio_optical_only,uv_intensity_pct,5,150.0,27,-0.07849692282609588,1.0784969228259838,2.699294680661324,-2.5470205692677648,4.885185185185184
bio_optical_only,uv_intensity_pct,6,180.0,26,-0.08669159778060909,1.0866915977804996,2.7641640610535556,-2.552122134122399,4.988461538461538
bio_optical_only,target_temperature_c,0,0.0,32,-0.03290833478482469,1.0329083347843213,1.1380077405542486,-0.9726277719615501,1.6
bio_optical_only,target_temperature_c,1,30.0,31,-0.0678665499216149,1.0678665499210265,0.9905987702473174,-1.2313487604063944,1.5870967741935489
bio_optical_only,target_temperature_c,2,60.0,30,-0.09197394547412041,1.091973945472999,0.8564035744466475,-2.1056318744009865,1.4433333333333338
bio_optical_only,target_temperature_c,3,90.0,29,-0.45306801862805224,1.4530680186265905,0.915420251153387,-2.1055817403162904,1.4551724137931035
bio_optical_only,target_temperature_c,4,120.0,28,-0.11299559274685533,1.1129955927457658,0.8851427033906277,-2.0796049099059735,1.4642857142857142
bio_optical_only,target_temperature_c,5,150.0,27,-0.08603053987904663,1.0860305398780017,0.8768926856383101,-2.120783847980998,1.4925925925925925
bio_optical_only,target_temperature_c,6,180.0,26,-0.09088941066692025,1.0908894106659093,0.910453166752953,-2.1178050652340756,1.5384615384615385
bio_optical_only,glucose_ml,0,0.0,32,-0.08200447622914986,1.082004474963185,0.01844928191455544,-1.731261425959782,0.0309375
bio_optical_only,glucose_ml,1,30.0,31,-0.22493693372808155,1.224936931220275,0.016997617497605737,-1.291648913506604,0.025483870967741944
bio_optical_only,glucose_ml,2,60.0,30,-0.07020593157878774,1.0702059271113236,0.012598050674072893,-2.4369202226345084,0.023000000000000007
bio_optical_only,glucose_ml,3,90.0,29,-0.07778607016870498,1.0777860657643412,0.01264168001213437,-2.4664723032069973,0.02344827586206897
bio_optical_only,glucose_ml,4,120.0,28,-0.08501523660237997,1.0850152323212934,0.013145167132666105,-2.4524408656265724,0.023928571428571434
bio_optical_only,glucose_ml,5,150.0,27,-0.07849313333639119,1.0784931291676665,0.013276996146598784,-2.4501590668080593,0.024074074074074078
bio_optical_only,glucose_ml,6,180.0,26,-0.10411042635764667,1.10411042219491,0.013451041309345026,-2.436698271054099,0.024230769230769236
bio_optical_only,salt_ml,0,0.0,32,-0.0887388643432836,1.088738861816383,0.015092976672860556,-2.0825022665457844,0.0265625
bio_optical_only,salt_ml,1,30.0,31,-0.12636462007323246,1.126364616939369,0.014851842419353854,-1.5220034742327742,0.0235483870967742
bio_optical_only,salt_ml,2,60.0,30,-0.18896527116537865,1.188965265592104,0.01236150915917178,-2.3906250000000004,0.02166666666666667
bio_optical_only,salt_ml,3,90.0,29,-0.10011944894201985,1.1001194438752047,0.011999974612318337,-2.4304490690032865,0.022068965517241385
bio_optical_only,salt_ml,4,120.0,28,-0.11567859196127483,1.115678586999891,0.012577743018236862,-2.4146341463414633,0.022500000000000003
bio_optical_only,salt_ml,5,150.0,27,-0.08685738394870346,1.0868573792156146,0.012340860979556391,-2.451612903225806,0.022962962962962966
bio_optical_only,salt_ml,6,180.0,26,-0.09674822249222781,1.096748217892961,0.012872327176414207,-2.435483870967742,0.023461538461538464
environment_only,uv_intensity_pct,0,0.0,32,0.10845256977331919,0.8915474302266659,4.407213721100705,-0.6334253403435564,6.409375
environment_only,uv_intensity_pct,1,30.0,31,-0.28984066770720607,1.2898406677071834,4.910088658343978,-0.4122684256708229,5.7967741935483845
environment_only,uv_intensity_pct,2,60.0,30,-0.07017360857601052,1.0701736085758906,2.5522169997340374,-2.5520193885234703,4.680000000000001
environment_only,uv_intensity_pct,3,90.0,29,-0.07273190292370835,1.072731902923592,2.641671318252846,-2.5490289897314593,4.810344827586207
environment_only,uv_intensity_pct,4,120.0,28,-1.8788342050950178,2.8788342050947153,3.920375755381056,-2.5129726070550067,4.853571428571429
environment_only,uv_intensity_pct,5,150.0,27,-1.5816838746787556,2.581683874678487,3.5788507970712717,-2.5470205692677648,4.885185185185184
environment_only,uv_intensity_pct,6,180.0,26,-0.28057206432407855,1.2805720643239493,2.8321133617968828,-2.552122134122399,4.988461538461538
environment_only,target_temperature_c,0,0.0,32,-0.13711108228625113,1.137111082285697,1.1251112413240705,-0.9726277719615501,1.6
environment_only,target_temperature_c,1,30.0,31,-0.29778445116892494,1.2977844511682097,1.1927701594839981,-1.2313487604063944,1.5870967741935489
environment_only,target_temperature_c,2,60.0,30,-0.22329035067126468,1.2232903506700086,0.9018443276120656,-2.1056318744009865,1.4433333333333338
environment_only,target_temperature_c,3,90.0,29,-0.48588056211818187,1.485880562116687,1.007329228930121,-2.1055817403162904,1.4551724137931035
environment_only,target_temperature_c,4,120.0,28,-1.1259635492756725,2.1259635492735907,1.280931890752946,-2.0796049099059735,1.4642857142857142
environment_only,target_temperature_c,5,150.0,27,-0.5464303754931872,1.5464303754916995,1.1119740356734276,-2.120783847980998,1.4925925925925925
environment_only,target_temperature_c,6,180.0,26,-0.6907117825991587,1.6907117825975921,1.1895510561722025,-2.1178050652340756,1.5384615384615385
environment_only,glucose_ml,0,0.0,32,-0.46650453625094834,1.4665045345351113,0.01987906373607734,-1.731261425959782,0.0309375
environment_only,glucose_ml,1,30.0,31,-0.12065574744282492,1.1206557451485128,0.016180306840335893,-1.291648913506604,0.025483870967741944
environment_only,glucose_ml,2,60.0,30,-0.07017982211634766,1.0701798176489923,0.012597855775467423,-2.4369202226345084,0.023000000000000007
environment_only,glucose_ml,3,90.0,29,-0.07534366148850813,1.075343657094125,0.012621025536476876,-2.4664723032069973,0.02344827586206897
environment_only,glucose_ml,4,120.0,28,-1.0636286968407256,2.063628688698376,0.01570933127782796,-2.4524408656265724,0.023928571428571434
environment_only,glucose_ml,5,150.0,27,-0.4615973737714101,1.4615973681218637,0.014590196477076918,-2.4501590668080593,0.024074074074074078
environment_only,glucose_ml,6,180.0,26,-0.42229699327188475,1.4222969879095155,0.014743578543619303,-2.436698271054099,0.024230769230769236
environment_only,salt_ml,0,0.0,32,-0.314759382751437,1.3147593796999555,0.015718917487382446,-2.0825022665457844,0.0265625
environment_only,salt_ml,1,30.0,31,-0.12771074310400454,1.127710739966396,0.014752822169571158,-1.5220034742327742,0.0235483870967742
environment_only,salt_ml,2,60.0,30,-0.2954633808327478,1.295463374760263,0.012324561526071856,-2.3906250000000004,0.02166666666666667
environment_only,salt_ml,3,90.0,29,-0.08248601574388181,1.0824860107582808,0.011906088892043648,-2.4304490690032865,0.022068965517241385
environment_only,salt_ml,4,120.0,28,-1.2808239383585893,2.280823928215844,0.015616274554524774,-2.4146341463414633,0.022500000000000003
environment_only,salt_ml,5,150.0,27,-0.4675078334292011,1.4675078270384412,0.013517953745036924,-2.451612903225806,0.022962962962962966
environment_only,salt_ml,6,180.0,26,-0.3792514614169884,1.3792514556330306,0.01396021498509299,-2.435483870967742,0.023461538461538464
