target,delay_steps,memory_min,n_after_nan_drop,r2_loo,nmse_loo,mae_loo,dummy_mean_r2
uv_intensity_pct,0,0.0,32,-0.1267026667643394,1.1267026667643205,4.810149031808639,-0.0655567117585849
uv_intensity_pct,1,30.0,31,-0.4030568910326706,1.403056891032646,5.660466035992682,-0.06777777777777771
uv_intensity_pct,2,60.0,30,-0.07021574814472364,1.0702157481446035,2.552302210419876,-0.07015457788347201
uv_intensity_pct,3,90.0,29,-0.07278695274729197,1.0727869527471756,2.6417702483666363,-0.07270408163265296
uv_intensity_pct,4,120.0,28,-1.1993084364366489,2.1993084364364175,3.239278246750384,-0.07544581618655699
uv_intensity_pct,5,150.0,27,-0.8380247919587045,1.838024791958513,3.525454785723772,-0.0784023668639049
uv_intensity_pct,6,180.0,26,-0.3927216810127028,1.3927216810125624,3.1071113830087165,-0.08160000000000012
target_temperature_c,0,0.0,32,-0.1643039594471989,1.1643039594466313,1.1461573320995675,-0.06555671175858513
target_temperature_c,1,30.0,31,-0.32954461091758414,1.3295446109168514,1.149563964762331,-0.06777777777777794
target_temperature_c,2,60.0,30,-0.08939892904154512,1.0893989290404262,0.8548545229852941,-0.07015457788347268
target_temperature_c,3,90.0,29,-0.8709935376039555,1.8709935376020732,1.0486721101581333,-0.07270408163265407
target_temperature_c,4,120.0,28,-0.20957470291929803,1.2095747029181139,0.9150535302329731,-0.07544581618655766
target_temperature_c,5,150.0,27,-0.18945357076154634,1.1894535707604017,0.9081395562972263,-0.078402366863906
target_temperature_c,6,180.0,26,-0.0928026521236105,1.092802652122598,0.9108958538572947,-0.08160000000000078
glucose_ml,0,0.0,32,-0.32092521619795966,1.3209252146524528,0.019385358809321504,-0.06555671175858468
glucose_ml,1,30.0,31,-0.34304953809284777,1.3430495353432301,0.017490886780322536,-0.06777777777777705
glucose_ml,2,60.0,30,-0.07023220466316249,1.0702322001955882,0.012598207619136844,-0.0701545778834709
glucose_ml,3,90.0,29,-0.4277100219109622,1.427710016076637,0.014035886602780752,-0.07270408163265296
glucose_ml,4,120.0,28,-0.08117314622793859,1.0811731419620114,0.013101149510303492,-0.07544581618655788
glucose_ml,5,150.0,27,-0.07854363244637419,1.078543628277454,0.013277326256726672,-0.078402366863906
glucose_ml,6,180.0,26,-0.41140381742548704,1.4114038121041874,0.015163201444130034,-0.08159999999999967
salt_ml,0,0.0,32,-0.3255437735982427,1.3255437705217314,0.01572460162208962,-0.06555671175858468
salt_ml,1,30.0,31,-0.40674265427239176,1.406742650358438,0.016078646381274028,-0.06777777777777816
salt_ml,2,60.0,30,-0.07022280526617775,1.0702228002495084,0.0117250219054459,-0.07015457788347201
salt_ml,3,90.0,29,-0.47076518948049584,1.4707651827065993,0.01330674339960217,-0.07270408163265296
salt_ml,4,120.0,28,-0.10311631820875289,1.103116313303233,0.012430375081145298,-0.07544581618655677
salt_ml,5,150.0,27,-0.08503647192282071,1.0850364671976618,0.012333528912518358,-0.07840236686390534
salt_ml,6,180.0,26,-0.46417996064927025,1.4641799545091605,0.014685297949140917,-0.08160000000000012
