timestamp,add_media_ml,add_alt_media_ml,remove_waste_ml,dose_total_ml,temp_c,uv_intensity,norm_od,observed_norm_od,growth_rate,observed_growth_rate,co2_ppm,observed_co2_ppm,od_45,od_90,od_135,observed_od_45,observed_od_90,observed_od_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,observed_nm_415,observed_nm_445,observed_nm_480,observed_nm_515,observed_nm_555,observed_nm_590,observed_nm_630,observed_nm_680,volume_ml,condition,modality,input_type,run_id,run_key
2026-09-03 04:20:00+00:00,0.0,0.0,0.0,0.0,31.84375,0.0,,False,,False,,False,0.13728952491000002,0.2669467415316923,0.23777324672130767,True,True,True,0.0445546875,0.375671875,0.42576953125,0.47869921875,0.536357421875,0.5327402343750001,0.524244140625,0.307193359375,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 04:25:00+00:00,0.0,0.0,0.0,0.0,31.38,0.0,5.584109221357137,True,-0.0006494161954090909,True,,False,0.1381100250277,0.26755292916594997,0.23613080135698333,True,True,True,0.044423828125,0.37474446614583334,0.42472526041666664,0.4772014973958333,0.5346119791666666,0.5309381510416666,0.5226168619791667,0.306369140625,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 04:30:00+00:00,0.0,0.0,0.0,0.0,30.9,0.0,5.582530406065607,True,-0.001444671476482143,True,,False,0.1383175893591,0.26795156432438333,0.2358026695627,True,True,True,0.04427897135416667,0.3737115885416667,0.42331412760416665,0.47561100260416667,0.53316796875,0.5294212239583334,0.5212447916666666,0.305533203125,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 04:35:00+00:00,0.0,0.0,0.0,0.0,30.56,0.0,5.588046067124175,True,0.006892547856526316,True,,False,0.13819482365101665,0.26804969852831667,0.2362623238524,True,True,True,0.044164388020833334,0.37268815104166664,0.421986328125,0.47424055989583336,0.5318177083333333,0.528009765625,0.5200377604166666,0.30479459635416667,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 04:40:00+00:00,0.0,0.0,0.0,0.0,30.285,0.0,5.594148803229465,True,0.009924132785749998,True,,False,0.13799485038259998,0.26787428137735,0.23654833177435,True,True,True,0.04413248697916667,0.37232649739583334,0.4213365885416666,0.4735846354166667,0.5315458984375,0.5276663411458333,0.5196647135416667,0.30456445312499997,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 04:45:00+00:00,0.0,0.0,0.0,0.0,30.07,0.0,5.606057700721579,True,0.016050781471333334,True,,False,0.13743380023656665,0.2672606852263,0.23708258019849998,True,True,True,0.044178710937500004,0.37272819010416663,0.42167513020833336,0.47411328125,0.5321438802083334,0.52839453125,0.5203470052083333,0.3050042317708333,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 04:50:00+00:00,0.0,0.0,0.0,0.0,29.97,0.0,5.625921286866927,True,0.02595780810956364,True,,False,0.13644236003478336,0.26624616956981667,0.23804047806113332,True,True,True,0.04428776041666667,0.37378776041666667,0.4227701822916667,0.475423828125,0.5336962890625,0.5299365234375,0.5217405598958333,0.305935546875,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 04:55:00+00:00,0.0,0.0,0.0,0.0,29.81,0.0,5.655425538073517,True,0.039042027788150004,True,,False,0.13531589550571665,0.26514094286423334,0.23930555645641668,True,True,True,0.04444270833333333,0.37502766927083336,0.42427929687500004,0.4771575520833334,0.5357389322916667,0.5318743489583333,0.5237718098958334,0.30716503906250003,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 05:00:00+00:00,0.0,0.0,0.0,0.0,29.72,0.0,5.689795061498828,True,0.05104974839996552,True,,False,0.1340796985795,0.26378010336700003,0.24063497594410002,True,True,True,0.044622721354166665,0.3767138671875,0.4261979166666666,0.4794033203125,0.5381972656249999,0.5344466145833333,0.5261956380208334,0.308705078125,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
2026-09-03 05:05:00+00:00,0.0,0.0,0.0,0.0,29.62,0.0,5.723568538263709,True,0.059275975147236364,True,,False,0.1329519112246,0.2626356542061167,0.2419521740936,True,True,True,0.04480305989583333,0.3783382161458333,0.4280862630208333,0.4816018880208333,0.54057421875,0.5368929036458333,0.5284925130208333,0.31015657552083337,True,True,True,True,True,True,True,True,13.5,temp,pulse,temp,20260904085950,pulse:temp:temp:20260904085950
