timestamp,add_media_ml,add_alt_media_ml,remove_waste_ml,dose_total_ml,temp_c,uv_intensity,norm_od,observed_norm_od,growth_rate,observed_growth_rate,co2_ppm,observed_co2_ppm,od_45,od_90,od_135,observed_od_45,observed_od_90,observed_od_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,observed_nm_415,observed_nm_445,observed_nm_480,observed_nm_515,observed_nm_555,observed_nm_590,observed_nm_630,observed_nm_680,volume_ml,condition,modality,input_type,run_id,run_key
2026-09-01 17:45:00+00:00,0.19,0.0,0.35,0.19,30.0,0.0,4.441327581574533,True,0.1788408880105,True,,False,0.20304992286116666,0.30600458089015,0.19152522888293333,True,True,True,0.0366533203125,0.3026370442708333,0.3396064453125,0.3817727864583333,0.43032779947916666,0.4292552083333333,0.426814453125,0.2457093098958333,True,True,True,True,True,True,True,True,13.34,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 17:50:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,4.510443813336879,True,0.2014163254678276,True,,False,0.19862061849411666,0.3038701942422167,0.19404491309785002,True,True,True,0.03694173177083333,0.3050494791666667,0.34247656249999997,0.3847919921875,0.43347623697916665,0.4323883463541666,0.42973730468750004,0.24755208333333334,True,True,True,True,True,True,True,True,13.34,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 17:55:00+00:00,0.05,0.0,0.35,0.05,30.0,0.0,4.601692946697255,True,0.21787630269050848,True,,False,0.18231255072675,0.30346529528070004,0.19679106343673333,True,True,True,0.03717578125,0.30705891927083334,0.34486979166666665,0.38751302083333333,0.43663411458333334,0.43544498697916667,0.4327184244791667,0.24946321614583333,True,True,True,True,True,True,True,True,13.04,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:00:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,4.6736418502021895,True,0.20157242927789654,True,,False,0.1802089309587667,0.30367981371083336,0.1999472698118,True,True,True,0.03747233072916667,0.30946712239583335,0.34780240885416663,0.39079231770833334,0.44044726562500003,0.4393525390625,0.43649088541666664,0.25186295572916667,True,True,True,True,True,True,True,True,13.04,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:05:00+00:00,0.327,0.0,0.35,0.327,30.0,0.0,4.671326820451333,True,0.19537623336822807,True,,False,0.1713507949526,0.30576724287175,0.19937617102805,True,True,True,0.0372548828125,0.3075400390625,0.3455250651041667,0.3883209635416666,0.43777018229166664,0.4367379557291667,0.4340572916666667,0.2503766276041667,True,True,True,True,True,True,True,True,13.017,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:10:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,4.675350118492684,True,0.13579717579266667,True,,False,0.17740288345843333,0.3050117826555833,0.19966883320721665,True,True,True,0.03724674479166667,0.30740071614583336,0.3453994140625,0.38819694010416667,0.43763769531249996,0.436453125,0.43386067708333337,0.25019498697916664,True,True,True,True,True,True,True,True,13.017,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:15:00+00:00,0.38,0.0,0.35,0.38,30.0,0.0,4.610519909417258,True,0.09123080984346552,True,,False,0.18809964349303332,0.3067424335295167,0.19790343243293332,True,True,True,0.036953125,0.30495833333333333,0.34243489583333336,0.3849381510416666,0.43384798177083334,0.4326936848958333,0.43020768229166667,0.24791080729166665,True,True,True,True,True,True,True,True,13.047,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:20:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,4.603752037347863,True,0.07971718943201724,True,,False,0.1844491912698,0.3061637916221333,0.1971760797374,True,True,True,0.036792317708333334,0.30378222656250004,0.3410322265625,0.38338997395833335,0.4319593098958333,0.4309303385416667,0.4284840494791667,0.24683821614583332,True,True,True,True,True,True,True,True,13.047,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:25:00+00:00,0.45399999999999996,0.0,0.35,0.45399999999999996,30.0,0.0,4.5103514595528305,True,0.03882486984471187,True,,False,0.1934166350533,0.3079175609428833,0.19413257202036668,True,True,True,0.036352213541666664,0.3001328125,0.33654394531250004,0.3785068359375,0.42641829427083333,0.4253704427083333,0.42313411458333333,0.24348177083333333,True,True,True,True,True,True,True,True,13.151,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:30:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,4.494006778642161,True,0.04663095256944643,True,,False,0.19428265357883331,0.30868776006188337,0.19361415416901667,True,True,True,0.0362548828125,0.2992604166666667,0.33555240885416665,0.3774296875,0.42514518229166665,0.4240458984375,0.42190983072916666,0.24276302083333334,True,True,True,True,True,True,True,True,13.151,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:35:00+00:00,0.412,0.0,0.35,0.412,30.0,0.0,4.415592171886759,True,0.03557517112613793,True,,False,0.20088543626553335,0.3114136689823,0.19072931445924998,True,True,True,0.03583854166666667,0.29560351562500004,0.33114680989583334,0.37259342447916666,0.4198974609375,0.4188251953125,0.41679459635416666,0.23954947916666666,True,True,True,True,True,True,True,True,13.213000000000001,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:40:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,4.393584805154245,True,0.04824809442145614,True,,False,0.20210053631218333,0.31204709267029995,0.19024439050134997,True,True,True,0.035747395833333334,0.29482975260416666,0.33027311197916664,0.37154915364583335,0.4188430989583333,0.41764518229166664,0.4157252604166667,0.23887272135416668,True,True,True,True,True,True,True,True,13.213000000000001,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:45:00+00:00,0.411,0.0,0.35,0.411,30.0,0.0,4.337477627947982,True,0.05792029829610527,True,,False,0.20564657694395,0.3141774770968,0.1880995968177,True,True,True,0.035416666666666666,0.29202929687499996,0.32687662760416664,0.36783561197916664,0.4146611328125,0.413599609375,0.41184375,0.23645247395833333,True,True,True,True,True,True,True,True,13.274000000000001,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:50:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,4.320768195904551,True,0.05979190151334483,True,,False,0.20618610461358333,0.31503247216375,0.18761320626186664,True,True,True,0.035336914062499995,0.2912327473958333,0.32606477864583333,0.36691569010416664,0.4136653645833333,0.41255045572916665,0.4109342447916667,0.23590234375,True,True,True,True,True,True,True,True,13.274000000000001,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
2026-09-01 18:55:00+00:00,0.246,0.0,0.35,0.246,30.0,0.0,4.299214386565948,True,0.0693319358212069,True,,False,0.20865120962153333,0.3165231570323,0.18694241935521666,True,True,True,0.03520930989583334,0.2901796875,0.32480403645833333,0.36554036458333333,0.41222298177083333,0.4111142578125,0.4095416666666667,0.23504752604166665,True,True,True,True,True,True,True,True,13.17,sulfur,mackey_glass,chem,20260902080307,mackey_glass:chem:sulfur:20260902080307
