timestamp,add_media_ml,add_alt_media_ml,remove_waste_ml,dose_total_ml,temp_c,uv_intensity,norm_od,observed_norm_od,growth_rate,observed_growth_rate,co2_ppm,observed_co2_ppm,od_45,od_90,od_135,observed_od_45,observed_od_90,observed_od_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,observed_nm_415,observed_nm_445,observed_nm_480,observed_nm_515,observed_nm_555,observed_nm_590,observed_nm_630,observed_nm_680,volume_ml,condition,modality,input_type,run_id,run_key
2026-07-04 19:30:00+00:00,0.0,1.0,1.0,1.0,30.0,0.0,0.9585447386870178,True,0.03219435096701786,True,,False,0.15412680424815,0.2853657810911833,0.24652311423839998,True,True,True,0.04588053385416667,0.3864638671875,0.4332890625,0.48596940104166664,0.5465091145833333,0.5403971354166667,0.5323831380208334,0.31052636718750004,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 19:35:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9538685535227068,True,0.0318379954897931,True,,False,0.15482316986613334,0.28607453966624996,0.2456611600884,True,True,True,0.045583984375,0.3841051432291666,0.43038671875,0.4828310546875,0.543123046875,0.53676171875,0.529236328125,0.30867968749999997,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 19:40:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9558201324810345,True,0.028717766194775864,True,,False,0.15441818272165,0.2858497042388667,0.24610138763498332,True,True,True,0.045625651041666666,0.38432389322916666,0.43080859375,0.4832770182291667,0.5436142578125001,0.5373772786458333,0.5298317057291667,0.3091451822916667,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 19:45:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.958770900337,True,0.03347796279412069,True,,False,0.15343016874563334,0.2848247623520833,0.24669117668005,True,True,True,0.045759765625,0.385298828125,0.43211393229166667,0.48469042968750004,0.5450107421875,0.5387223307291666,0.5311497395833333,0.3099996744791667,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 19:50:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9631834173762069,True,0.041158309255603445,True,,False,0.15264167803696665,0.28419966640058336,0.24764641829838335,True,True,True,0.0459072265625,0.3864615885416667,0.433525390625,0.4863323567708333,0.5468792317708334,0.540572265625,0.5329759114583333,0.3111197916666667,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 19:55:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9681027342776481,True,0.047547072808037036,True,,False,0.15170891440295,0.28337755318166663,0.24863703932689998,True,True,True,0.04609212239583334,0.3878470052083333,0.43520442708333335,0.4882236328125,0.5490618489583333,0.5428561197916667,0.5350895182291667,0.31242871093749996,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:00:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9727502498482035,True,0.05087959085520339,True,,False,0.15103838754568333,0.28282628589293335,0.24945198388558334,True,True,True,0.0462041015625,0.3887317708333333,0.4363001302083333,0.48955891927083334,0.5503958333333333,0.544298828125,0.5364772135416666,0.3132900390625,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:05:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9768184745923684,True,0.050720203478157894,True,,False,0.15029868045835,0.28215717964901665,0.2502367631147,True,True,True,0.04633333333333333,0.38973567708333334,0.4375732421875,0.49116373697916665,0.5523095703125,0.5460504557291667,0.5382945963541667,0.31437955729166667,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:10:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9809389068975818,True,0.050814585542199996,True,,False,0.14943176918338336,0.2815047817991167,0.2510830427989833,True,True,True,0.0464814453125,0.39075227864583334,0.4388076171875,0.49273990885416663,0.5539742838541667,0.5477516276041666,0.5398421223958334,0.3153020833333333,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:15:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9849462973916492,True,0.048937115680263155,True,,False,0.1488781144824,0.28093170922605,0.25184621681728336,True,True,True,0.04657356770833333,0.39139583333333333,0.4396949869791667,0.4939778645833333,0.5555426432291667,0.5490638020833334,0.5411321614583334,0.31618522135416666,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:20:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9886456570973148,True,0.04712368538277777,True,,False,0.1481423321557,0.2804548161305833,0.25271182154326666,True,True,True,0.046706705729166666,0.3923753255208334,0.4408333333333333,0.495478515625,0.557275390625,0.5508014322916667,0.5427783203125001,0.31718457031249997,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:25:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9921344150894446,True,0.044602799284407406,True,,False,0.14749424768355002,0.2797864148756333,0.25330467282833335,True,True,True,0.04677083333333333,0.39286490885416664,0.4415569661458333,0.49643098958333337,0.5584013671875,0.5519645182291666,0.5440208333333333,0.3178896484375,True,True,True,True,True,True,True,True,13.5,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:30:00+00:00,0.39999999999999997,0.0,1.2,0.39999999999999997,30.0,0.0,0.9842742576853051,True,0.043050380871677965,True,,False,0.14911335109333335,0.2815360817247,0.2522135200787,True,True,True,0.046552734374999995,0.390765625,0.4390690104166667,0.4937750651041667,0.5555146484375,0.5492340494791667,0.5412236328125,0.31622233072916667,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:35:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9840876514302457,True,0.04801099620210527,True,,False,0.14908037542858335,0.2816424571147833,0.25240646216998336,True,True,True,0.04660188802083333,0.3910009765625,0.4392760416666667,0.4943271484375,0.5560934244791667,0.5495195312500001,0.5416399739583333,0.316486328125,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:40:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9899783095831072,True,0.05972229455944643,True,,False,0.14775491812678335,0.2804560428861333,0.25377246393023334,True,True,True,0.04680696614583334,0.3926513671875,0.4414104817708333,0.49673307291666663,0.5584391276041667,0.55202734375,0.5440123697916667,0.3180263671875,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:45:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,0.9970821316420181,True,0.07058441919252728,True,,False,0.14661165916713334,0.27928293258183334,0.2549043080054167,True,True,True,0.046968424479166666,0.39402473958333334,0.4429544270833333,0.4986171875,0.5608277994791667,0.55426171875,0.5462272135416666,0.3193304036458333,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:50:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,1.0030861172033454,True,0.07079931114503636,True,,False,0.14580840545751667,0.27878571479715003,0.2558029617283167,True,True,True,0.047095703125,0.39476139322916665,0.4439931640625,0.500078125,0.5626731770833333,0.5559573567708334,0.5477708333333333,0.3203629557291666,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 20:55:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,1.008175044181232,True,0.06637229244458928,True,,False,0.14463146862915,0.27752208542793333,0.2568843982234833,True,True,True,0.04726888020833333,0.396060546875,0.4456852213541667,0.5021461588541667,0.5649303385416666,0.5582526041666667,0.5499951171874999,0.3217112630208333,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 21:00:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,1.014461943739268,True,0.06844361495403571,True,,False,0.14358402969016665,0.2764454171750333,0.2580016643116167,True,True,True,0.04743684895833333,0.39725716145833334,0.44711946614583337,0.5041207682291666,0.5671975911458333,0.5604479166666666,0.5520716145833333,0.3229986979166667,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 21:05:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,1.0186676264060666,True,0.05843181799406667,True,,False,0.14303549746223335,0.27614482643658333,0.25869086913395,True,True,True,0.04749674479166666,0.3977236328125,0.44781803385416663,0.5052018229166666,0.5681119791666667,0.5613359375000001,0.5529580078124999,0.3235445963541667,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 21:10:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,1.021853547692807,True,0.0483395548094386,True,,False,0.14233857077283335,0.27541024548494997,0.25945904519723334,True,True,True,0.047620442708333335,0.39869303385416666,0.4489547526041667,0.5066848958333333,0.5697942708333333,0.5631686197916667,0.5545543619791666,0.32451171875,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
2026-07-04 21:15:00+00:00,0.0,0.0,0.0,0.0,30.0,0.0,1.025050055060724,True,0.04359284525467241,True,,False,0.14168294178639998,0.2747773928148333,0.2601750059241,True,True,True,0.047733723958333335,0.39942805989583335,0.44988932291666667,0.5081236979166667,0.5713971354166667,0.5646321614583333,0.5559752604166667,0.3254313151041667,True,True,True,True,True,True,True,True,12.7,control,pulse,chem,20260705115653,pulse:chem:control:20260705115653
