timestamp,run_key,modality,input_type,condition,run_id,elapsed_minutes,volume_ml,add_media_ml,add_alt_media_ml,remove_waste_ml,dose_total_ml,temp_c,uv_intensity,norm_od,observed_norm_od,growth_rate,observed_growth_rate,co2_ppm,observed_co2_ppm,od_45,od_90,od_135,observed_od_45,observed_od_90,observed_od_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,observed_nm_415,observed_nm_445,observed_nm_480,observed_nm_515,observed_nm_555,observed_nm_590,observed_nm_630,observed_nm_680
2026-09-03 12:35:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,0.0,13.5,0.0,0.0,0.0,0.0,32.92,0.0,,False,,False,480.0,True,0.1020409526162439,0.22186277080417072,0.2705665584619268,True,True,True,0.053419471153846154,0.4501312099358974,0.5112059294871795,0.5744946915064103,0.6468504607371794,0.6447495993589744,0.6335196314102565,0.374453125,True,True,True,True,True,True,True,True
2026-09-03 12:40:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,5.0,13.5,0.0,0.0,0.0,0.0,32.69,0.0,6.52456510669029,True,0.001183091891548387,True,462.9,True,0.1021006721629,0.22144903748246667,0.27113270898770003,True,True,True,0.05341341145833333,0.4500263671875,0.5111565755208333,0.5743948567708334,0.6470641276041668,0.6450641276041666,0.6340296223958333,0.374888671875,True,True,True,True,True,True,True,True
2026-09-03 12:45:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,10.0,13.5,0.0,0.0,0.0,0.0,32.56,0.0,6.5324391645155515,True,0.011342109311344828,True,493.7,True,0.10220937465785,0.22169411248823334,0.27191441857358334,True,True,True,0.05345905172413793,0.4502134967672414,0.5115571120689656,0.5748996497844828,0.6477485183189655,0.6459630926724138,0.6349245689655173,0.3754667295258621,True,True,True,True,True,True,True,True
2026-09-03 12:50:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,15.0,13.5,0.0,0.0,0.0,0.0,32.45,0.0,6.5415945769731785,True,0.015407413966755556,True,459.5,True,0.10228976623868084,0.22191242147940426,0.27279927753406386,True,True,True,0.05357066761363636,0.4509943181818182,0.512530184659091,0.5767986505681818,0.6502592329545455,0.6489506392045454,0.6376704545454546,0.3772940340909091,True,True,True,True,True,True,True,True
2026-09-03 12:55:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,20.0,13.5,0.0,0.0,0.0,0.0,32.345,0.0,6.559509050697551,True,0.022864712913137932,True,469.7,True,0.1018864582171,0.22133597685195,0.27371113772846667,True,True,True,0.053691406250000004,0.4517333984375,0.5136396484375,0.5780673828125,0.6516393229166667,0.6503359375,0.6391490885416666,0.37822721354166666,True,True,True,True,True,True,True,True
2026-09-03 13:00:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,25.0,13.5,0.0,0.0,0.0,0.0,32.31,0.0,6.581222542851518,True,0.029565391209392857,True,478.9,True,0.1013040614667,0.22049644692339998,0.2747804531703667,True,True,True,0.05388340836864407,0.4531978283898305,0.5155031779661017,0.5801449947033899,0.6541376456567796,0.6530104608050847,0.6416773702330508,0.3798758606991526,True,True,True,True,True,True,True,True
2026-09-03 13:05:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,30.0,13.5,0.0,0.0,0.0,0.0,32.25,0.0,6.604951675791593,True,0.03465802112232204,True,456.2,True,0.10073143651250001,0.21980012216375,0.2757383411721833,True,True,True,0.05388340836864407,0.4531978283898305,0.5155031779661017,0.5801449947033899,0.6541376456567796,0.6530104608050847,0.6416773702330508,0.3798758606991526,False,False,False,False,False,False,False,False
2026-09-03 13:10:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,35.0,13.5,0.0,0.0,0.0,0.0,32.19,0.0,6.622372236689034,True,0.03447689946198305,True,474.4,True,0.10026563120908333,0.21920943526123335,0.27644039254865,True,True,True,0.05388340836864407,0.4531978283898305,0.5155031779661017,0.5801449947033899,0.6541376456567796,0.6530104608050847,0.6416773702330508,0.3798758606991526,False,False,False,False,False,False,False,False
2026-09-03 13:15:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,40.0,13.5,0.0,0.0,0.0,0.0,32.1475,0.0,6.640358279114437,True,0.034009951827458335,True,496.3,True,0.099874792982,0.21867953152116001,0.27731103464336,True,True,True,0.054395751953125,0.45728271484375,0.520384521484375,0.5860821533203125,0.6611114501953125,0.6602191162109375,0.649102783203125,0.384505615234375,True,True,True,True,True,True,True,True
2026-09-03 13:20:00+00:00,pulse:temp:temperature:20260904090547,pulse,temp,temperature,20260904090547,45.0,13.5,0.0,0.0,0.0,0.0,32.11,0.0,6.655757485844424,True,0.03271657726589831,True,503.1,True,0.09938040587061667,0.21787876986726668,0.2778509613829333,True,True,True,0.05455631510416667,0.45825878906249995,0.5216015625,0.5876217447916667,0.6629970703125,0.6617962239583334,0.6507496744791667,0.3855035807291667,True,True,True,True,True,True,True,True
