cycle,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity
0,0.34912113324904165,0.3520313172917153,0.1453743568173611,0.03280015733506944,0.2772386338975694,0.30362223307291664,0.34210517035590277,0.38250257703993057,0.3788107638888889,0.37524943033854163,0.21249538845486113,-0.026186659564326087,0.4122072584517246,480.625,30.762916666666666,60.33958333333334
1,0.35193116234748334,0.3518928734531083,0.14441151770792499,0.03283333333333333,0.277615234375,0.30410042317708336,0.34208642578125004,0.3823564453125,0.3785944010416667,0.37503987630208335,0.21231038411458333,-0.028238455535445378,0.4066880872076471,524.95,30.9895,59.78150000000001
2,0.3599524576354666,0.35275637163190837,0.14232373251674166,0.03266227213541666,0.2765089518229166,0.3026728515625,0.3401310221354167,0.38009488932291663,0.37633040364583337,0.3728292643229167,0.21089892578125,-0.032806835242623934,0.3945268057508633,565.95,31.0875,59.479499999999994
3,0.37004199407480837,0.35328446672683333,0.13974052594580835,0.03244287109375,0.2747763671875,0.30064306640625,0.33758072916666665,0.37716292317708333,0.3733097330729167,0.36990657552083334,0.20908837890624998,-0.04592975626501724,0.3784596035626465,557.9,31.173000000000002,59.164
4,0.3839730311874667,0.354284486999525,0.13649139159614165,0.032134602864583334,0.2722491861979167,0.29759130859375,0.33405013020833335,0.37316259765625,0.3692814127604167,0.36593994140624997,0.20667854817708334,-0.05873298739484822,0.3578808602294018,605.7,31.238999999999997,59.42999999999999
5,0.3968152993682917,0.35449040558755834,0.13378317545860832,0.03185595703125,0.27000260416666666,0.29474267578125,0.3307975260416667,0.3695045572916667,0.3656552734375,0.36227620442708336,0.20449853515625,-0.06561847852174782,0.3410139489575739,647.8,31.288999999999998,59.652
6,0.41055889113666666,0.3551511630335916,0.130760693361175,0.031595214843750004,0.2678888346354167,0.2922893880208333,0.32781412760416667,0.36600113932291667,0.3620703125,0.35887646484374996,0.20236930338541667,-0.06392629856021052,0.33171531184781583,645.05,31.337,59.693
7,0.4203989452458333,0.35472313490040003,0.12894569045985835,0.0314130859375,0.26644596354166666,0.29057259114583334,0.32577815755208334,0.3637314453125,0.3597434895833333,0.35669124348958337,0.20103531901041669,-0.0395196163665,0.33158836719251783,645.35,31.3735,59.759
8,0.427809978349725,0.35471303220335837,0.12713965110634168,0.031279459635416666,0.26533723958333333,0.28931347656249995,0.32421728515625,0.36193359375,0.35796630859375,0.35498209635416667,0.20000520833333332,-0.024528573855157897,0.33177863326376317,641.4,31.426,59.9145
9,0.4433566027579417,0.35480591827016666,0.12430730796975001,0.031005208333333333,0.26310205078125,0.28655436197916667,0.32107389322916663,0.35844270833333336,0.3545222981770833,0.35159814453125,0.19792692057291666,-0.014563427408387931,0.33189635852848276,644.3,31.482499999999998,60.017500000000005
10,0.462738736304425,0.35363420769546666,0.12085231210424167,0.030680989583333332,0.260486328125,0.2833450520833333,0.31738850911458333,0.35428092447916665,0.3503043619791667,0.34751025390624996,0.19539827473958335,-0.00856032778588889,0.3319734499964102,645.15,31.503500000000003,60.1005
11,0.48117228643178334,0.35284286451115837,0.11786474128441667,0.030412109375,0.2583260091145833,0.28066748046875,0.31423177083333337,0.35071712239583336,0.34666943359374996,0.3439793294270833,0.19320231119791667,-0.00500815086190991,0.33201629469677474,641.55,31.564,60.073
12,0.4910748313085917,0.352525708599175,0.11629080295390833,0.030310709635416665,0.2576471354166667,0.27977783203125,0.3129970703125,0.34920898437500003,0.34512972005208337,0.34250146484375,0.1923095703125,-0.002989282093299145,0.3320429806993932,645.85,31.599,59.952999999999996
13,0.49475680038555,0.3522656613612167,0.11582567734648334,0.03029573567708333,0.2576751302083333,0.2797815755208333,0.3128919270833333,0.34900830078125,0.3449275716145833,0.34232014973958336,0.1922532552083333,-0.0017422794386554622,0.3320582315732689,650.85,31.6115,59.930499999999995
14,0.5032576516261084,0.35182182796045,0.11455403958251667,0.030221842447916664,0.257115234375,0.27908186848958333,0.31205094401041666,0.34804085286458336,0.3438974609375,0.34135595703125,0.191669921875,-0.001049923479008772,0.33206718737525437,590.7,31.577499999999997,59.684000000000005
15,0.5153599154617751,0.35087157415640835,0.112810354688425,0.030051106770833332,0.25575227864583333,0.27747347005208334,0.3101707356770833,0.3458214518229167,0.34171468098958335,0.33923193359375,0.19037760416666666,-0.0006458262170530973,0.33207249068729205,615.05,31.643,59.8605
16,0.52826511255265,0.3496668169984167,0.11109059799836667,0.02989599609375,0.2544982096354167,0.2759664713541667,0.30830598958333333,0.34370556640625,0.33949658203125,0.33706608072916666,0.18908170572916666,-0.0003911891205913043,0.33207583691733045,651.5,31.716500000000003,60.174
17,0.54249090995895,0.34842797419179167,0.10923028163423334,0.029738606770833335,0.2532169596354167,0.2743645833333333,0.3064609375,0.341623046875,0.3373357747395833,0.33493424479166667,0.18774641927083333,-0.00023165631366363636,0.3320778857608182,661.75,31.7455,60.275
18,0.558540022458975,0.34671384779675,0.10717666712551667,0.02954541015625,0.2516399739583333,0.27240283203125,0.3042615559895834,0.3389293619791667,0.33466162109375003,0.332373046875,0.18617073567708334,-0.00013141808139495797,0.33207922810283197,682.1,31.8325,60.32899999999999
19,0.569730847372275,0.3454375011457083,0.10571017097554167,0.029412597656249997,0.25073567708333333,0.27126529947916667,0.3027190755208334,0.33730615234375,0.3329280598958333,0.33071842447916666,0.18513330078125,-7.411911549122807e-05,0.3320799855271491,695.9,31.915499999999998,60.330499999999994
20,0.5758637271395001,0.3446953772928833,0.1049769204786,0.029363769531249997,0.2503649088541667,0.2708474934895833,0.3020760091145833,0.33646744791666666,0.33212776692708335,0.32992822265625,0.18468570963541667,-4.0930654724137925e-05,0.3320804095877414,729.2,31.9315,60.616499999999995
21,0.5841615033899333,0.34385006266524165,0.10411382468461668,0.02929557291666667,0.24988671875000001,0.270181640625,0.30128857421875,0.33556233723958334,0.33118212890625004,0.32899072265624996,0.18412093098958332,-2.2327982643478263e-05,0.33208065542828696,708.1,31.9515,60.727999999999994
22,0.5994403423288167,0.3415413142424833,0.102462774207525,0.029166015625,0.24876253255208333,0.26863330078125003,0.2999080403645833,0.33400504557291666,0.3294368489583333,0.32731266276041665,0.18298567708333333,-1.2029977310344827e-05,0.33208079038127586,657.65,31.832,60.602999999999994
23,0.6026915246071083,0.339887749944275,0.10205184232695,0.029162760416666666,0.24912272135416666,0.26875032552083333,0.30009309895833336,0.33408154296875003,0.32940673828125,0.3271119791666666,0.18274755859375,-6.44066147368421e-06,0.332080869099693,543.65,31.5865,60.342999999999996
24,0.5765009110328416,0.34321670253070835,0.10385468979519168,0.029384114583333332,0.2510603841145833,0.271267578125,0.30223925781250005,0.33620947265625,0.3315205078125,0.32894222005208335,0.18394482421875,-3.350873401785714e-06,0.33208090759849995,590.75,31.747500000000002,60.3405
25,0.5863406577264832,0.34242725243185,0.10301673437623333,0.02935546875,0.25084554036458334,0.2710213216145833,0.3017171223958333,0.3355779622395833,0.33093896484375,0.32842122395833334,0.18359733072916665,-1.685650811965812e-06,0.33208093106258124,677.35,31.903000000000002,60.488
26,0.5907098829839,0.34178520721351663,0.10268586420376667,0.029388997395833335,0.25120426432291665,0.27138623046875004,0.30207991536458334,0.3359410807291667,0.3312312825520833,0.32876318359375,0.18376285807291665,-8.336071810344828e-07,0.3320809428727069,688.15,31.7725,60.626
27,0.6027969909894666,0.34075562565007494,0.10166268358236666,0.02939664713541667,0.251158203125,0.2711095377604167,0.30212809244791666,0.3360960286458334,0.33128694661458336,0.3288761393229167,0.18360888671875,-4.0841762831858405e-07,0.33208094876588495,568.35,31.229000000000003,60.4505
28,0.6147722301448749,0.33843484238416666,0.10022381503670832,0.02929296875,0.25029069010416666,0.26996761067708336,0.3009130859375,0.3347513020833333,0.32990462239583335,0.32752197265625,0.1827529296875,-1.8415136036036035e-07,0.33208095193110815,499.5,31.546,58.9585
29,0.6163599400910833,0.3386023914729333,0.10142445956621667,0.029267578125000002,0.25056787109375,0.27019384765625,0.3007405598958333,0.33432291666666664,0.32940592447916667,0.3268531901041667,0.18224560546875,-7.309462711864407e-08,0.33208095353288136,758.1,31.707,58.46900000000001
