cycle,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity
0,0.3254265842683959,0.3472106950731528,0.14040738490725696,0.03121432834201389,0.2604299587673611,0.28672254774305556,0.32365220811631945,0.3645145670572917,0.36318101671006947,0.36255533854166666,0.20460096571180555,0.06515366748658274,2.8548572022035326,807.9583333333334,31.22458333333333,62.4125
1,0.3160960907311334,0.34685688776375,0.14296141418629166,0.031408203125,0.2621564127604167,0.28881998697916667,0.32568603515625,0.36693652343750005,0.36547314453124996,0.36478027343749997,0.20596256510416666,0.12817757339706956,2.956224523214365,838.3,31.3685,61.995000000000005
2,0.31837091107474996,0.3474639867239417,0.14201760441269165,0.031236653645833334,0.2608544921875,0.28733740234375,0.3239640299479166,0.36463785807291665,0.363337890625,0.3626277669270833,0.20459830729166667,0.12346839877816379,2.9269071791808017,840.35,31.4175,61.7845
3,0.3233595107036583,0.34860611024917504,0.14048701462571664,0.030995768229166665,0.25873063151041664,0.28478320312500005,0.3212132161458333,0.3616202799479167,0.36027718098958333,0.35971614583333333,0.20279964192708333,0.09932856368992307,2.8734658259978976,821.35,31.366500000000002,61.681
4,0.33383634760210834,0.3505151143295834,0.1373800881476,0.030562795430672272,0.25495486475840334,0.280386850052521,0.3164092043067227,0.3562089679621849,0.3548184742647059,0.3545299369747899,0.19957375919117645,0.07366834794346153,2.762250339062726,824.9,31.335,61.741499999999995
5,0.342696210500125,0.35199884652205,0.13498038450980002,0.030220052083333334,0.25196158854166667,0.27690250651041665,0.31258512369791663,0.3519816080729167,0.3506642252604167,0.35055989583333336,0.19707763671875,0.07892564143773685,2.673936114567535,814.25,31.326999999999998,61.786500000000004
6,0.3511824439664917,0.3532634855019667,0.13273539980265833,0.029905110677083332,0.24920751953125,0.27373242187499996,0.3090550130208333,0.3480275065104167,0.3467801106770833,0.34683430989583336,0.19478629557291666,0.0855792375629322,2.593662710444966,800.0,31.3365,61.802
7,0.3556076754483167,0.3536526253629667,0.13135428133383334,0.02971240234375,0.24759472656249998,0.27187972005208333,0.30697998046874997,0.3455831705729167,0.34431315104166665,0.3444781901041667,0.19335530598958334,0.07297925122462069,2.54283715227356,763.6,31.408499999999997,61.580499999999994
8,0.3585191658398083,0.35417162691203335,0.13049163450713333,0.02957373046875,0.2463359375,0.2704423828125,0.30539811197916666,0.34380940755208333,0.3425162760416667,0.34281949869791667,0.1922814127604167,0.0860571194786207,2.510188199321724,769.45,31.452499999999997,61.63099999999999
9,0.36643197982203335,0.3549348536677167,0.12832351470955833,0.02929557291666667,0.24391227213541666,0.26759570312500003,0.30225797526041664,0.3402809244791667,0.33901953125,0.33945003255208334,0.19017773437500002,0.07544274393996522,2.4315871983670347,816.7,31.4875,61.972
