cycle,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity
0,0.18701985690801387,0.29299782306668054,0.2017766626760139,0.03830078125,0.314140625,0.35607421875,0.40482421875,0.45802734375,0.4590234375,0.4556640625,0.263515625,0.08809619035626241,0.7602866296700993,905.625,31.28833333333333,63.88791666666666
1,0.18297946381125,0.29078157171676666,0.20432251724463332,0.03830078125,0.314140625,0.35607421875,0.40482421875,0.45802734375,0.4590234375,0.4556640625,0.263515625,0.10809591568345762,0.7756168905232712,892.95,31.476,63.2745
2,0.18128181781719999,0.28966733222245,0.20395456933600833,0.03830078125,0.314140625,0.35607421875,0.40482421875,0.45802734375,0.4590234375,0.4556640625,0.263515625,0.11618903644500862,0.7774545031089569,900.5,31.546,62.954499999999996
3,0.18097770914446226,0.29051270667790563,0.20527055452212264,0.03809114583333333,0.31262630208333336,0.35446875,0.4028518880208333,0.45553743489583337,0.4562229817708333,0.45315234375,0.26222265625,0.11556592114406666,0.7810617493526285,900.7,31.6025,62.98049999999999
4,0.17813713433322126,0.28860414104091153,0.20743617308455753,0.03846287237149533,0.31583637558411215,0.35805654935747666,0.40683173919392523,0.4600386974299065,0.4605271612149533,0.45726854556074764,0.2647732914719626,0.1447405738444679,0.795220542050789,889.6,31.5445,62.9985
5,0.17898993685709563,0.2901311096788174,0.2071128483171565,0.03831010960820896,0.31469245569029847,0.3564211170708955,0.40499562733208955,0.4581171291977612,0.4584786030783582,0.455274020522388,0.26350746268656716,0.11894578280578899,0.7919774832509817,845.65,31.387,62.876999999999995
6,0.18090586769698333,0.29183991558360833,0.20577851522345,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.08455197746744349,0.782315426453,817.55,31.32,62.870000000000005
7,0.18046973503840832,0.291521217141725,0.20595962563238332,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.09769708637814783,0.7822750570085739,798.8,31.333999999999996,62.801
8,0.178625210529775,0.29085851016238334,0.20752554972995,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.11309597641093964,0.7911651653075604,779.7,31.366500000000002,62.6275
9,0.17815054610776665,0.2905567480153334,0.2075918268669417,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.1203352740225431,0.7921419478617673,754.45,31.341,62.452
10,0.1802642843986,0.292491303843325,0.206211927153175,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.12365096066534745,0.7833571357921016,735.45,31.27,62.4855
11,0.1820001606286417,0.29402091305791667,0.20500208545671667,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.13393154057992307,0.7764315271359146,721.35,31.246999999999996,62.408500000000004
12,0.18045751584350833,0.2930875563871,0.20622898059438333,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.1339050025071017,0.7834957718562796,716.05,31.25,62.291999999999994
13,0.17766437209906666,0.29135486048053333,0.20817396976919167,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.12468307811897479,0.7944955470720421,703.6,31.276,62.10850000000001
14,0.177421116460375,0.29145801470545835,0.20863986241661667,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.11240143611379833,0.7968384446210672,701.05,31.2255,61.96
15,0.17886100531194998,0.2931719054823,0.20788292123978333,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.09369477781344916,0.7912302787541186,707.65,31.208499999999997,61.9625
16,0.18013332899900833,0.29438608543369166,0.20691297011680002,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.0866784340817931,0.7851881801143965,703.25,31.208999999999996,61.846500000000006
17,0.18163758683264167,0.295576556304575,0.2056858371925417,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.08664999862132758,0.7781472341092155,700.05,31.154500000000002,61.847
18,0.18435292850898335,0.29763846156156665,0.20369687590801666,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.08039930216910435,0.7669290617290522,708.65,31.131,61.9535
19,0.1858713198116,0.2990091124503833,0.20268791214023332,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.07519185188255555,0.7606195253413846,702.1,31.2365,61.6665
20,0.1860218225444,0.29908165511703333,0.2023031760159,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.06398851696032173,0.7592689926498174,704.2,31.274,61.2505
21,0.18672905540677498,0.29961073466015,0.201803515154125,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.05829956299983898,0.7555199370320932,694.6,31.256999999999998,60.997
22,0.18970726223853335,0.301795977853075,0.19972707826758332,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.05838120381544068,0.7437690501029323,697.6,31.1955,60.948
23,0.19455362356883335,0.30533349075345834,0.19661886214723331,0.03800377887228261,0.3116512398097826,0.35232273267663045,0.40043393342391304,0.4526963739809783,0.45308975883152175,0.450137355638587,0.26024435292119563,0.05372200961164957,0.7257625122373162,693.5,31.1565,60.9735
