run_key,modality,input_type,condition,run_id,steps,norm_od_mae,norm_od_rmse,norm_od_r2,growth_rate_mae,growth_rate_rmse,growth_rate_r2,od_45_mae,od_45_rmse,od_45_r2,od_90_mae,od_90_rmse,od_90_r2,od_135_mae,od_135_rmse,od_135_r2,nm_415_mae,nm_415_rmse,nm_415_r2,nm_445_mae,nm_445_rmse,nm_445_r2,nm_480_mae,nm_480_rmse,nm_480_r2,nm_515_mae,nm_515_rmse,nm_515_r2,nm_555_mae,nm_555_rmse,nm_555_r2,nm_590_mae,nm_590_rmse,nm_590_r2,nm_630_mae,nm_630_rmse,nm_630_r2,nm_680_mae,nm_680_rmse,nm_680_r2
mackey_glass:chem:glucose:20260901143358,mackey_glass,chem,glucose,20260901143358,73,0.265740399573396,0.2695490518682234,-146.2703810836569,0.04720268200985668,0.05100576512713673,-5.65571487998276,0.15384141333159626,0.17097834514933608,-3.0067534055819998,0.01198541930943754,0.013890384460635776,-5.88083139916911,0.03545916471815292,0.03768648430712746,-6.042905415580132,0.0026033028256675812,0.0027848973765032033,-4.742899599096503,0.01911231614356718,0.02046649217279793,-4.158603851726597,0.02621397019956757,0.02794003315925054,-5.272649906645133,0.033663486653811324,0.03577379442501939,-6.028028550749409,0.040362273899931904,0.04279942655329065,-6.468892461179211,0.04301885463331391,0.045546329924640395,-7.06992401786313,0.03932130147115283,0.041781029943643744,-6.100689354709079,0.025124379668605968,0.026597608884906948,-6.487333594732333
mackey_glass:chem:nitro:20260901224037,mackey_glass,chem,nitro,20260901224037,73,0.4912150340107525,0.5528075720121783,0.5298860224861364,0.04040703861929977,0.048678288415746236,-0.009414493213864894,0.288993554192584,0.3092452311890015,-7.0001347821171205,0.063112724213974,0.0639669339224035,-88.42577382716621,0.11548295380703405,0.11740434647091028,-32.90776400366707,0.016777415549135255,0.01686090385533712,-55.843972127620965,0.14786223997408093,0.14848096755651555,-56.20432227320714,0.1689061974900726,0.16990154168742486,-53.14063486858413,0.18729476971487458,0.18848022718246185,-57.25309232332071,0.21750946737032684,0.218162216549007,-61.65435352558235,0.20014648488233008,0.20175878010194745,-53.31074016533653,0.2020225345458333,0.20268514969513046,-58.52543910942871,0.122683316823478,0.12328941197766223,-54.86963993341201
mackey_glass:chem:salt:20260901143936,mackey_glass,chem,salt,20260901143936,74,0.2582166740998801,0.2782437462397211,-19.337113464618184,0.05353439637213713,0.06270004794030147,-2.6590647662681524,0.025694699170424842,0.028525979628558126,-1.9671005117105977,0.017657203367813422,0.01982575705301188,-1.7368300936668533,0.013838225573360768,0.019672658685364892,-2.59279435728761,0.0018551110115846217,0.0019070536797761203,-84.23929067677672,0.02408219911908671,0.024297228609322707,-211.64060984275437,0.021204391380128647,0.021578338927622998,-92.07782520041071,0.020855303278711712,0.02130236311610657,-72.28225636616476,0.021025918886282753,0.021535477955276352,-53.08497635042939,0.013536878618988711,0.014215147813683604,-21.88720257208151,0.008309294731394905,0.009283560946472843,-9.859076236702572,0.004810989041556357,0.005403460650226678,-8.238758220921174
mackey_glass:chem:sulfur:20260902080307,mackey_glass,chem,sulfur,20260902080307,72,1.2780629614415546,1.3091562835560877,-1.7172544242412213,0.032367425438984104,0.05253489639633942,-0.3313336746158646,0.0950209990435859,0.11688241255739641,-1.9840654828322615,0.04894823302953492,0.05141034539521334,-6.5633074849949065,0.06400785107528413,0.06935224702499816,-6.775307346861853,0.011917355564319462,0.012182928825593324,-16.248628125639218,0.11082119659472398,0.11268816767954705,-18.637549387601727,0.1225540540085899,0.1255569681198052,-16.100614419324415,0.13619936169297608,0.13976259363948187,-17.00779360298034,0.1598753135447149,0.16220608751606988,-18.528169120594093,0.14141969181873185,0.1461388665342479,-15.209058494001095,0.14512317941917313,0.14743357272353855,-17.184570305272114,0.08562715979637928,0.08755722291401445,-15.630258598798111
mackey_glass:temp:temp:20260831100538,mackey_glass,temp,temp,20260831100538,273,0.8573291337363894,1.137685319548539,-12662.203753571992,0.029240325268840604,0.03440845308835484,-0.9669185067392438,0.16144477789156286,0.16971936255544467,-320.42418220117804,0.06915766771068022,0.07991041179493161,-206.2684052059707,0.07964970686772883,0.08594631886927472,-2608.4056494437214,0.011948844527752705,0.013448844098523177,-1174.7428973592862,0.10216857432033502,0.11288454249033593,-433.88518317871853,0.11767378989621706,0.1314344745783297,-619.8391114457764,0.1310787970435386,0.1479371457621359,-1116.7204773298222,0.14754463625158754,0.16627169690395682,-1649.17536079538,0.14751959572235745,0.16773174273720723,-2881.779001751349,0.13801107268181506,0.15681110984503122,-3736.066408443967,0.08684620938406275,0.09870235751634801,-4220.753381592613
mackey_glass:uv:uv:20260831095938,mackey_glass,uv,uv,20260831095938,98,0.5768975189025687,0.7712599338036668,-850.8311619742381,0.023844597219518555,0.028037828440279876,-0.6867197679118342,0.07895240315007025,0.08943170668780519,-60.098352119933715,0.040637935920422585,0.049180166456746,-728.0931761038281,0.0473081259152757,0.05449565736074547,-117.97232922896009,0.007866540641809019,0.009484440911218157,-39.81777279200101,0.06361896869519944,0.07592398155990458,-90.11194381744416,0.07713712336335864,0.0920714665262023,-104.4869946806883,0.08848901298175865,0.1062236700932701,-155.43236629930686,0.09721186381700088,0.11652950106297691,-140.21582781150454,0.09736056386126955,0.11797750286497226,-146.84765650024534,0.08986678283636264,0.10845635610179716,-139.0238379475104,0.05639339056104221,0.0682601271288214,-147.10487017049482
pulse:chem:control:20260705115653,pulse,chem,control,20260705115653,98,0.6073378935296627,0.6289811844058633,-514.1100361895413,0.024073442785769873,0.02542458079802065,-0.2032545496200573,0.012807606424264609,0.014163025686987343,-5.832880964597297,0.0052920047837543525,0.007370742588415111,-0.754414297717483,0.013599761523376289,0.014694906019806102,-7.1027049816313355,0.0010529896234776762,0.0014432855850168888,-1.7674973966585719,0.008299464258206952,0.011118369957917424,-1.5616358526730885,0.010160975148077737,0.013751339181135438,-1.5927186163732419,0.012356230027821602,0.016884881717861455,-1.9259841535655902,0.013105195115212671,0.018029345947555328,-1.6248345080202204,0.014601594323203676,0.019872097180136224,-2.126701412419902,0.011821449857990763,0.01597230801454131,-1.1063727363368714,0.007848106243172483,0.010595451708379213,-1.3279135527623098
pulse:chem:glucose:20260709215429,pulse,chem,glucose,20260709215429,146,0.09028452830881346,0.10521272378060412,-15.6292646385395,0.016751333759965327,0.02283815170349391,-0.5100201519176695,0.12485468950895831,0.1309516197902661,-149.0436709285493,0.021128891359663587,0.022732314059133393,-51.19689971069896,0.04328152169543952,0.04567646538787639,-86.64611191017072,0.005028717865738292,0.005226708595969418,-96.33365963908733,0.04192184706013759,0.04364752037414695,-91.88159913187688,0.04745005939908278,0.04941829627724339,-84.78382737259429,0.050529151853981935,0.05309460344582807,-70.5198761215943,0.057445638681064816,0.060512161027943094,-74.92050204246569,0.05154185798431784,0.05399345849954547,-66.01916995352232,0.053626512473576665,0.056171469346692794,-82.36740174382535,0.03305765961729769,0.03462887227819233,-84.6607576287094
pulse:chem:glucose:20260902182036,pulse,chem,glucose,20260902182036,108,2.0511849978984174,2.15255083746914,-284.6667814723892,0.019479604243718807,0.0259522501825481,-0.05844839554354708,0.01984989278203636,0.020962529389985936,-5.7237983940061765,0.031031438200485165,0.03180535001224224,-15.250023540340894,0.05044764154443427,0.050962395516306595,-143.6489892532647,0.011808032886569985,0.011926466358907649,-289.1417769428122,0.09572352321951255,0.09663048713828651,-297.28472241915546,0.11111296013203527,0.11237666024009785,-259.76977656547297,0.1310660863297053,0.13263310207689696,-293.8920303984343,0.15028321648605072,0.15170689870098122,-293.39772709851417,0.14595406812534067,0.14790366649649428,-282.85255474651285,0.14057338571280595,0.14188699118677134,-278.4222546457523,0.08666406936951851,0.08760057758636704,-267.6991316153515
pulse:chem:glucose:20260903094345,pulse,chem,glucose,20260903094345,122,4.180736926004887,4.217835201720181,-375.63004998168884,0.01818421810560349,0.019293101690824176,-7.786992637054174,0.06377316379716666,0.06411303062862098,-84.5104133158691,0.05852994317718609,0.05871018654056524,-44.72186113951324,0.019018594377352212,0.021300470004945258,-4.325671550971966,0.0030011228675371248,0.003126066461501371,-4.505348472784279,0.023249229757519845,0.024125056805375376,-4.412148551831427,0.03210840882768825,0.03340584337618683,-4.833668710581421,0.0347540453839137,0.03668256320786296,-4.389750208819014,0.033221765281614614,0.03477635184743445,-2.806754367852197,0.04355651506259061,0.04618565141516752,-5.365188311341978,0.03346869233461548,0.034951398205325876,-2.8330832963131645,0.02519111605860698,0.02620721311669697,-4.471743203734199
pulse:chem:nitrogen:20260703122850,pulse,chem,nitrogen,20260703122850,141,1.4076790359558673,1.50524349730016,-1017.6603660492439,0.016045374121606393,0.018900977095557565,-0.20719654825552558,0.012723219269225474,0.020116537383766207,-8.312596946845499,0.011862488826810456,0.017189954894757963,-4.230927589406153,0.012677576672813766,0.016845426899807007,-2.972497077587882,0.0032391579351255164,0.003826754358349626,-4.9708370646912865,0.030202184492633472,0.03456466190395288,-7.010761559478826,0.036437392419292815,0.04155547734494991,-6.8630631225271275,0.03755796758787973,0.04414277219776483,-5.248988662680795,0.04008451347124009,0.04791918845503237,-4.736055486752975,0.04534795112950462,0.05253203393654914,-6.077241210790702,0.03785197468939281,0.045689254637521326,-4.740140841994102,0.025175048749787484,0.02953170503335559,-5.040688551069027
pulse:chem:nitrogen:20260804092944,pulse,chem,nitrogen,20260804092944,110,0.09341096526398888,0.11327465835058133,-110.15751746879016,0.017373310144932715,0.02051795701292794,-1.1257658458687416,0.05099086801412185,0.055306743334774706,-110.47324677539305,0.0021308082309295494,0.002950396542515837,0.6631185090031935,0.009969315899895437,0.012231767823214269,-31.17487126763824,0.0018661615781711439,0.0020031278486848138,-49.30394201880448,0.015055721857330992,0.016224739916605446,-34.044358733104175,0.012861120708783449,0.014794098395514686,-25.362461607985253,0.014433514116749596,0.016539639171651188,-26.953511559671902,0.016006660155094006,0.018687567154596067,-27.814134623375477,0.012805299929416526,0.014901260727773287,-19.036706804182227,0.01612179998773514,0.018465885213303238,-31.73228909695065,0.009894727559884355,0.011496842819092764,-30.260800517502116
pulse:chem:nitrogen:20260805104326,pulse,chem,nitrogen,20260805104326,110,0.3260674838454558,0.3274012953049306,-506.09986009640295,0.013538416603069491,0.01720071662614165,-0.10247693972232597,0.00955225816076144,0.014014956269675024,-9.821481204716727,0.006762724623158561,0.007993990434317606,-1.6668338589037561,0.003368875732481512,0.0052154610044154275,-2.797419754612337,0.002039353924718805,0.002176746767030045,-4.195011386997076,0.023100800200664663,0.02440028399600604,-6.877935600419728,0.020876958181641342,0.022363921174758935,-4.029451363330101,0.022553184690619985,0.02407756124966539,-4.500332520723959,0.02610237376906658,0.027776041367818888,-4.947678001978431,0.02543850193457172,0.02706945313127412,-4.713562820828348,0.023242691264730535,0.024906170726074726,-4.3474767598533655,0.013058189535863495,0.014073353875688784,-3.26753029015062
pulse:chem:nitrogen:20260805225017,pulse,chem,nitrogen,20260805225017,110,0.386277960567237,0.4322661784164573,-813.6430505888482,0.011757808507436114,0.013982887459597162,-0.0008066441932963464,0.03201682211478159,0.034261416178925065,-65.68717268478704,0.0318108141069275,0.03316012885895203,-123.44913915374835,0.018642423648246798,0.020321252382285906,-47.65643189375804,0.00406411052861001,0.004361092800620777,-45.5629523132782,0.033567438004233646,0.03584610037705789,-37.019201001578665,0.04017555970712143,0.04305479780439426,-39.30091834717531,0.04717583023923817,0.05042660613603338,-51.169113779948404,0.05331009373014626,0.05676816323832955,-50.98759316324405,0.056410587055755405,0.060027406136377005,-55.98280394143117,0.051912598703124334,0.055302688428107906,-50.26902565322546,0.033557542383309595,0.03571474358850886,-51.98767135495378
pulse:chem:nitrogen:20260806102506,pulse,chem,nitrogen,20260806102506,110,0.4554336803560796,0.49339901033119477,-775.9093988034177,0.009835870549124423,0.014304626914593872,-0.14661987921376163,0.015869171575736377,0.01769421636850835,-16.2244146216505,0.02242429795961483,0.023522339850160928,-25.577179105663937,0.013086935437205995,0.014418712285453942,-21.154179034380594,0.0030415324363745016,0.003275708464246282,-5.025383065727298,0.02379882176789373,0.02558509965140708,-3.0192975573459284,0.0272228469552416,0.029509510906500124,-3.0465803084640397,0.03471595157493247,0.03740209570992828,-6.034332037738592,0.039559599725405376,0.042441575781848366,-6.420291805377627,0.04288069985346362,0.04583532571423313,-7.599283802979674,0.03923043295759144,0.0419169130441787,-6.645663928754146,0.024712328584266453,0.02647285659512143,-6.710511972323712
pulse:chem:salt:20260715130728,pulse,chem,salt,20260715130728,135,0.2931621568283253,0.3338331616179789,-97.30076891418346,0.02103115579642906,0.02334285827676924,-0.3141901983646429,0.014618346615827671,0.016928038612160756,-2.6827976844590005,0.010217271002240479,0.012955449100227431,-5.517411452249992,0.010118059992404085,0.012061965035089522,-2.4592762377475434,0.003549227583040466,0.003991080546402636,-39.350703574161095,0.03707434119177456,0.03953279484689609,-64.42234581520655,0.04137789684166146,0.044807908468503514,-56.31861411791931,0.04194174533655616,0.046663094856988996,-38.92751676975775,0.04674140922051892,0.051545092707075295,-36.79819383937933,0.04822993891798422,0.05331653994011138,-44.61055486409089,0.04427830025943712,0.04844798676264664,-42.30978568550055,0.026658648701067347,0.02961550437711898,-41.65629243305005
pulse:chem:salt:20260814171607,pulse,chem,salt,20260814171607,110,0.07380704074056321,0.09320916978561719,-5.734846960960795,0.03966500335528107,0.05049867971687979,-0.09286418277143693,0.044126943790821264,0.050479503125428794,-5.234086819690132,0.00981378347546815,0.011345535274620618,0.16234840488199553,0.01594957715102857,0.018620533175299627,-5.492521956074813,0.0025483704185846716,0.002934935870308914,-10.238383017137627,0.016937762151342423,0.020006451228186402,-9.681064287185892,0.02121257574847249,0.025205052284411715,-7.889086220313661,0.023752088851639694,0.02806644346817149,-8.092023104637393,0.02759830321904383,0.03273251843808701,-8.228699649771935,0.02540362941640794,0.03004040121276389,-7.026598420274723,0.029651726961858325,0.034269353649142055,-9.554136407914408,0.01982754204056476,0.022851194607134036,-9.6811991601862
